ReportingCountry,country_name,AMC_pig,AMC_poultry,AMCh_comm,AMCh_hosp,AMR_poultry,AMR_pig,AMRh
MS1,Member State 1,0.16,0,0.03,0.1,2.876490982,1.09434618,2.471025283
MS2,Member State 2,0.16,0,0.105,0.38,0.012188521,2.168795157,2.483032208
MS3,Member State 3,0.16,0,0.74,0.29,0.731311267,1.323164018,6.272417919
MS4,Member State 4,0.21,0,0.075,0.15,1.401679928,0.009948602,2.307731095
MS5,Member State 5,0.1,0,0.01,0.1,0.012188521,0.328303854,1.733800053
MS6,Member State 6,0.24,0,0.77,0.88,1.231040632,1.004808765,9.456654581
MS7,Member State 7,0.27,0,0.075,0.22,6.654932526,3.233295532,3.645302604
MS8,Member State 8,0.1,0,0.005,0.11,0.012188521,6.635717292,2.360561568
MS9,Member State 9,0.25,0,0.015,0.43,1.621073308,0.676504911,5.218209854
MS10,Member State 10,0.42,0,0.255,0.19,1.450434012,2.148897954,3.385953011
MS11,Member State 11,0.53,0,0.14,0.2,0.012188521,0.577018895,5.304659718
MS12,Member State 12,0.1,0,0.37,0.21,1.060401336,0.48748148,2.278914474
MS13,Member State 13,0.1,0,0.005,0.12,0.719122745,0.009948602,1.894692855
MS14,Member State 14,0.17,0,0.015,0.08,0.012188521,0.009948602,2.984921697
MS15,Member State 15,0.1,0,0.005,0.09,0.012188521,0.009948602,1.844263768
MS16,Member State 16,0.33,0,0.2,0.73,5.557965626,6.964021146,7.785290541
MS17,Member State 17,0.21,0,0.005,0.13,1.231040632,4.735534379,3.719745542
MS18,Member State 18,0.1,0,0.005,0.12,0.012188521,0.009948602,1.520076777
MS19,Member State 19,0.1,0,0.01,0.03,1.889220772,0.009948602,1.709786202
MS20,Member State 20,0.1,0,0.005,0.14,1.450434012,0.009948602,2.816824739
MS21,Member State 21,0.19,0,0.005,0.08,1.718581476,0.009948602,2.218879846
MS22,Member State 22,0.23,0,0.265,0.22,0.012188521,0.009948602,4.562631718
MS23,Member State 23,0.27,0,0.05,0.29,2.315819011,2.268281173,4.504998475
MS24,Member State 24,0.45,0,0.35,0.18,0.012188521,0.009948602,6.334853932
MS25,Member State 25,0.21,0,0.135,0.25,5.752981964,0.895374147,4.894022863
MS26,Member State 26,0.22,0,0.48,0.49,5.777359006,3.472061971,4.937247795
MS27,Member State 27,0.29,0,0.02,0.16,2.754605771,0.009948602,3.762970474
