ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
AT,0.19349,11,464,14.5,-1.637374531,0,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.213536949,11,487,15.5,-1.5392733,1,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.22252534,10,685,16.5,-1.498230494,2,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.228560595,10,711,17.5,-1.471588254,3,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.231738564,5,524,18.5,-1.457839499,4,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.237990005,5,514,19.5,-1.431333549,5,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
AT,0.243468575,5,515,20.5,-1.408668505,6,1,-3.724518282,0.2121600271,25,-17.55523099,1.428673E-15,0.05,-4.161470037,-3.287566527
BE,0.44961,12,540,14.5,-0.797153059,0,2,-3.183370484,0.1509742751,25,-21.08551594,1.937618E-17,0.05,-3.494307824,-2.872433144
BE,0.362964278,6,533,15.5,-1.010699555,1,2,-3.183370484,0.1509742751,25,-21.08551594,1.937618E-17,0.05,-3.494307824,-2.872433144
BE,0.2018037,32,513,16.5,-1.595516763,2,2,-3.183370484,0.1509742751,25,-21.08551594,1.937618E-17,0.05,-3.494307824,-2.872433144
BE,0.093441172,46,508,17.5,-2.359778155,3,2,-3.183370484,0.1509742751,25,-21.08551594,1.937618E-17,0.05,-3.494307824,-2.872433144
BE,0.080983029,18,493,18.5,-2.501243023,4,2,-3.183370484,0.1509742751,25,-21.08551594,1.937618E-17,0.05,-3.494307824,-2.872433144
