ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
AT,0.19349,11,464,14.5,-1.637374531,0,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.213536949,11,487,15.5,-1.5392733,1,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.22252534,10,685,16.5,-1.498230494,2,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.228560595,10,711,17.5,-1.471588254,3,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.231738564,5,524,18.5,-1.457839499,4,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.237990005,5,514,19.5,-1.431333549,5,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
AT,0.243468575,5,515,20.5,-1.408668505,6,1,-0.181060365,0.0692973559,25,-2.612803371,0.0149808768,0.05,-0.323780941,-0.038339789
BE,0.44961,12,540,14.5,-0.797153059,0,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.362964278,6,533,15.5,-1.010699555,1,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.2018037,32,513,16.5,-1.595516763,2,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.093441172,46,508,17.5,-2.359778155,3,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.080983029,18,493,18.5,-2.501243023,4,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.080090635,13,607,19.5,-2.512187806,5,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BE,0.076453797,10,603,20.5,-2.558073688,6,2,-0.0358088,0.0419932898,25,-0.85272671,0.4019068192,0.05,-0.122295599,0.0506779995
BG,0.151113605,2,132,15.5,-1.883127636,1,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
BG,0.095058388,3,212,16.5,-2.342799068,2,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
BG,0.089474916,4,201,17.5,-2.402682637,3,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
BG,0.092998679,4,204,18.5,-2.364474547,4,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
BG,0.101783387,1,204,19.5,-2.275131546,5,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
BG,0.146936068,2,200,20.5,-1.91097507,6,3,-0.140406964,0.1256652009,25,-1.11730983,0.2744849285,0.05,-0.39921929,0.1184053617
CY,0.45938,17,142,14.5,-0.775703044,0,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.405965514,7,140,15.5,-0.899026829,1,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.417124459,1,142,16.5,-0.871976141,2,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.337034786,3,158,17.5,-1.084606471,3,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.37108584,2,135,18.5,-0.9886307,4,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.372392986,2,133,19.5,-0.985123833,5,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CY,0.343978996,6,121,20.5,-1.064271745,6,4,-0.277467116,0.0869102536,25,-3.192570551,0.0037842214,0.05,-0.456462134,-0.098472098
CZ,0.40731,7,383,14.5,-0.895728589,0,5,-0.122899719,0.0764759173,25,-1.607038186,0.1206042346,0.05,-0.28040482,0.0346053806
CZ,0.410798297,6,414,15.5,-0.887221621,1,5,-0.122899719,0.0764759173,25,-1.607038186,0.1206042346,0.05,-0.28040482,0.0346053806
CZ,0.43681601,8,407,16.5,-0.825956526,2,5,-0.122899719,0.0764759173,25,-1.607038186,0.1206042346,0.05,-0.28040482,0.0346053806
