"ISO","ID","year","year0","Consumption_CEPH","Log_Con_CEPH","eventCEPH","trialCEPH"
"MS7","7",14.5,0,0.205284364856426,-1.58335911540036,7,464
"MS7","7",15.5,1,0.175811908198146,-1.7383405588343,20,487
"MS7","7",16.5,2,0.217405792135428,-1.52598966189268,5,685
"MS7","7",17.5,3,0.237509966031343,-1.4375456941506,8,711
"MS7","7",18.5,4,0.208143285628237,-1.56952856323238,3,524
"MS7","7",19.5,5,0.267603281541926,-1.31824968794105,6,514
"MS7","7",20.5,6,0.260924057352603,-1.34352588199653,6,515
"MS2","2",14.5,0,0.468057142070699,-0.759164892076234,13,540
"MS2","2",15.5,1,0.305587812185926,-1.18551810407562,8,533
"MS2","2",16.5,2,0.122905525802861,-2.09633930164009,31,513
"MS2","2",17.5,3,0.116726980870636,-2.14791756786317,48,508
"MS2","2",18.5,4,0.112954598057246,-2.18076932811188,13,493
"MS2","2",19.5,5,0.0822211070067601,-2.49834323364342,9,607
"MS2","2",20.5,6,0.0773462922131376,-2.5594626383009,7,603
"MS25","25",15.5,1,0.151993675720413,-1.88391636610401,3,132
"MS25","25",16.5,2,0.102703135437738,-2.27591263244805,4,212
"MS25","25",17.5,3,0.0820928939975738,-2.4999038192834,2,201
"MS25","25",18.5,4,0.112861891951585,-2.18159040287809,3,204
"MS25","25",19.5,5,0.113801998663534,-2.17329519449568,0,204
"MS25","25",20.5,6,0.136976349405531,-1.98794700013306,3,200
"MS20","20",14.5,0,0.443314076029094,-0.813476784906244,15,142
"MS20","20",15.5,1,0.296270450999232,-1.21648255600666,8,140
"MS20","20",16.5,2,0.332996791359653,-1.09962242460471,0,142
"MS20","20",17.5,3,0.288594923116848,-1.24273122421481,1,158
"MS20","20",18.5,4,0.314174133652619,-1.15780788101598,2,135
"MS20","20",19.5,5,0.29735869279822,-1.21281614902708,3,133
"MS20","20",20.5,6,0.353041657584773,-1.04116921885633,5,121
"MS15","15",14.5,0,0.337360163694667,-1.08660418432144,8,383
"MS15","15",15.5,1,0.547641719110326,-0.602134003096672,4,414
"MS15","15",16.5,2,0.418156973909495,-0.871898381284602,2,407
"MS15","15",17.5,3,0.462830256475132,-0.77039490880061,7,369
"MS15","15",18.5,4,0.671311263062875,-0.39852237019088,2,502
"MS15","15",19.5,5,0.413167501516005,-0.883902195565494,1,508
"MS15","15",20.5,6,0.465942863674039,-0.763692262515276,2,373
"MS16","16",14.5,0,0.312172028237277,-1.16420087056727,17,800
"MS16","16",15.5,1,0.376809433587474,-0.976015700533152,14,768
"MS16","16",16.5,2,0.40868686012259,-0.894806039350592,14,834
"MS16","16",17.5,3,0.261012007370876,-1.34318886746525,16,882
"MS16","16",18.5,4,0.171577281372434,-1.76272149362753,24,876
"MS16","16",19.5,5,0.140683921285667,-1.9612395979685,31,890
"MS16","16",20.5,6,0.118151940940487,-2.13578384771871,5,820
"MS23","23",14.5,0,0.0155289582575505,-4.16504872343074,0,509
"MS23","23",15.5,1,0.00734487034048966,-4.91375312227049,0,504
"MS23","23",16.5,2,0.00576511947184206,-5.15592940182588,0,539
"MS23","23",17.5,3,0.00856711872023203,-4.75982380824262,0,519
"MS23","23",18.5,4,0.0047052743754158,-5.35907119193504,0,528
"MS23","23",19.5,5,0.00253805668665469,-5.97635657477204,0,534
"MS23","23",20.5,6,0.00080047783736737,-7.13030171189781,5,346
"MS21","21",14.5,0,0.989790948570437,-0.0102615212117242,3,156
"MS21","21",15.5,1,0.563596583397294,-0.573416561081568,2,158
"MS21","21",16.5,2,0.72625740808388,-0.319850770408309,0,140
"MS21","21",17.5,3,1.110422596928,0.104740660822706,0,152
"MS21","21",18.5,4,0.924126609077075,-0.0789061939165335,2,156
"MS21","21",19.5,5,0.846945255726376,-0.166119219563669,4,153
"MS21","21",20.5,6,0.363965148572983,-1.01069716160792,6,225
"MS11","11",15.5,1,0.0912625261545927,-2.39401502301356,14,286
"MS11","11",16.5,2,0.103862006293786,-2.26469212346209,3,340
"MS11","11",17.5,3,0.148597845788013,-1.90651164351948,0,340
"MS11","11",18.5,4,0.116772184121032,-2.14753038659884,2,316
"MS11","11",19.5,5,0.136654332687114,-1.99030066065542,2,316
"MS11","11",20.5,6,0.121898505140667,-2.10456650556709,2,243
"MS22","22",14.5,0,0.252563235446658,-1.37609362420843,22,679
"MS22","22",15.5,1,0.315270931773446,-1.15432290896322,16,679
"MS22","22",16.5,2,0.444184355880245,-0.811515586781702,32,677
"MS22","22",17.5,3,0.322582381936241,-1.13139672750325,26,677
"MS22","22",18.5,4,0.282586711746316,-1.26376983125864,15,680
"MS22","22",19.5,5,0.356486938940171,-1.0314576767129,11,680
"MS22","22",20.5,6,0.225768199576516,-1.48824647165538,8,680
"MS27","27",14.5,0,0.0140968426440662,-4.26180443262593,0,392
"MS27","27",15.5,1,0.0119354926308245,-4.42823874389534,0,401
"MS27","27",16.5,2,0.00278352500440575,-5.88403716730014,2,359
"MS27","27",17.5,3,0.000951697531534921,-6.9572632926322,1,348
"MS27","27",18.5,4,0.000828559604036078,-7.09582178157785,2,347
"MS27","27",19.5,5,0.000450895329481144,-7.70427533080524,0,344
"MS27","27",20.5,6,0.000295185126902218,-8.1279078496298,0,340
"MS19","19",14.5,0,0.146318099757068,-1.92197226188197,8,858
"MS19","19",15.5,1,0.190801733753307,-1.65652043325186,8,764
"MS19","19",16.5,2,0.0330451525020123,-3.40988039509042,5,785
"MS19","19",17.5,3,0.0141151965708294,-4.26050329099538,9,850
"MS19","19",18.5,4,0.0184730403967065,-3.99144288561073,7,776
"MS19","19",19.5,5,0.0193216304128029,-3.94653006386176,7,734
"MS19","19",20.5,6,0.0183950756389308,-3.99567227850503,9,806
"MS8","8",14.5,0,0.184224394278654,-1.69160073027773,1,340
"MS8","8",15.5,1,0.174518454311522,-1.74572478756447,2,255
"MS8","8",16.5,2,0.186690372565759,-1.67830379609635,4,256
"MS8","8",17.5,3,0.18978150750787,-1.66188182901845,0,256
"MS8","8",18.5,4,0.345253804941693,-1.06347546592307,2,254
"MS8","8",19.5,5,0.220208029254384,-1.5131825918961,2,254
"MS8","8",20.5,6,0.226572419005937,-1.48469065445148,0,255
"MS9","9",14.5,0,0.331224730256081,-1.10495819061101,9,510
"MS9","9",15.5,1,0.523039899195893,-0.648097528733594,10,510
"MS9","9",16.5,2,0.472870930101154,-0.748932802777789,17,510
"MS9","9",17.5,3,0.690847743172957,-0.36983582222438,5,510
"MS9","9",18.5,4,0.532386447439036,-0.630385648384286,9,510
"MS9","9",19.5,5,0.448719298643784,-0.801357756798556,7,510
"MS9","9",20.5,6,0.372530263891719,-0.98743699911585,23,510
"MS6","6",14.5,0,0.120125604849406,-2.11921737653761,4,314
"MS6","6",15.5,1,0.0720861045551361,-2.62989397788171,3,317
"MS6","6",16.5,2,0.114463254583186,-2.16750142816477,3,373
"MS6","6",17.5,3,0.11264242527376,-2.18353685560959,5,403
"MS6","6",18.5,4,0.182912055567736,-1.69874981231992,5,370
"MS6","6",19.5,5,0.165672819720412,-1.79774040107384,3,340
"MS6","6",20.5,6,0.126352625312722,-2.06867866726548,0,340
"MS10","10",16.5,2,0.00248770399516023,-5.99639508418939,0,162
"MS10","10",17.5,3,0.00107617174713568,-6.83434521368277,0,146
"MS10","10",18.5,4,0.00205696858345778,-6.18652194141882,0,92
"MS10","10",19.5,5,0.00176037019565291,-6.34223115361095,0,99
"MS10","10",20.5,6,0.00192715402579267,-6.2517109623899,1,170
"MS17","17",14.5,0,0.354838873481703,-1.03609147005663,18,678
"MS17","17",15.5,1,0.315453284505731,-1.15374467609167,9,679
"MS17","17",16.5,2,0.556420861306629,-0.586230326273686,13,681
"MS17","17",17.5,3,0.373723945379607,-0.984237868066101,13,680
"MS17","17",18.5,4,0.318981338090333,-1.14262267919278,7,678
"MS17","17",19.5,5,0.173315215484129,-1.75264328759111,6,678
"MS17","17",20.5,6,0.185712944273334,-1.68355310775749,7,680
"MS12","12",14.5,0,0.113180412081572,-2.17877216633454,29,174
"MS12","12",15.5,1,0.064622155638071,-2.73919796045955,48,189
"MS12","12",16.5,2,0.178045012876395,-1.72571887933108,41,199
"MS12","12",17.5,3,0.198655667293942,-1.61618226808774,19,192
"MS12","12",18.5,4,0.208405997405962,-1.56826719117747,28,192
"MS12","12",19.5,5,0.156814984579504,-1.85268861071156,4,199
"MS12","12",20.5,6,0.105418672498391,-2.24981550013681,5,200
"MS3","3",14.5,0,0.305851940453385,-1.18465414885273,34,297
