ReportingCountry,country_name,Year,Pathogen,Class,Animal,PCU_ANIMALS,NS_a,Tested_a,PR_a,pathogen_name,class_name
MS23,Member State 23,2019,ESCCOL,TET,animals,26.95591144,194,524,0.370229008,E. coli,tetracyclines
MS23,Member State 23,2019,ESCCOL,QALL,animals,0.327628204,47,524,0.089694656,E. coli,fluoroquinolones and other quinolones
MS23,Member State 23,2019,ESCCOL,CEPH,animals,0.23474512,4,524,0.007633588,E. coli,third- and fourth-generation cephalosporins 
MS23,Member State 23,2019,ESCCOL,POL,animals,1.370444287,0,524,0,E. coli,polymyxins
MS23,Member State 23,2019,ESCCOL,AMP,animals,6.65082322,144,524,0.27480916,E. coli,aminopenicillins
MS14,Member State 14,2019,ESCCOL,TET,animals,19.95418757,206,493,0.417849899,E. coli,tetracyclines
MS14,Member State 14,2019,ESCCOL,QALL,animals,0.430143205,107,493,0.21703854,E. coli,fluoroquinolones and other quinolones
MS14,Member State 14,2019,ESCCOL,CEPH,animals,0.080922987,25,493,0.050709939,E. coli,third- and fourth-generation cephalosporins 
MS14,Member State 14,2019,ESCCOL,POL,animals,1.358178813,0,493,0,E. coli,polymyxins
MS14,Member State 14,2019,ESCCOL,AMP,animals,30.6735708,252,493,0.511156187,E. coli,aminopenicillins
MS22,Member State 22,2019,ESCCOL,TET,animals,43.98970277,147,204,0.720588235,E. coli,tetracyclines
MS22,Member State 22,2019,ESCCOL,QALL,animals,5.792645289,85,204,0.416666667,E. coli,fluoroquinolones and other quinolones
MS22,Member State 22,2019,ESCCOL,CEPH,animals,0.071622712,3,204,0.014705882,E. coli,third- and fourth-generation cephalosporins 
MS22,Member State 22,2019,ESCCOL,POL,animals,1.597747618,1,204,0.004901961,E. coli,polymyxins
MS22,Member State 22,2019,ESCCOL,AMP,animals,17.06537369,122,204,0.598039216,E. coli,aminopenicillins
MS4,Member State 4,2019,ESCCOL,TET,animals,94.65994576,112,135,0.82962963,E. coli,tetracyclines
MS4,Member State 4,2019,ESCCOL,QALL,animals,3.107494582,31,135,0.22962963,E. coli,fluoroquinolones and other quinolones
MS4,Member State 4,2019,ESCCOL,CEPH,animals,0.507561365,3,135,0.022222222,E. coli,third- and fourth-generation cephalosporins 
MS4,Member State 4,2019,ESCCOL,POL,animals,12.67008968,0,135,0,E. coli,polymyxins
MS4,Member State 4,2019,ESCCOL,AMP,animals,58.71951663,100,135,0.740740741,E. coli,aminopenicillins
MS27,Member State 27,2019,ESCCOL,TET,animals,19.67582691,150,502,0.298804781,E. coli,tetracyclines
MS27,Member State 27,2019,ESCCOL,QALL,animals,1.6982013,161,502,0.320717131,E. coli,fluoroquinolones and other quinolones
MS27,Member State 27,2019,ESCCOL,CEPH,animals,0.434822931,2,502,0.003984064,E. coli,third- and fourth-generation cephalosporins 
MS27,Member State 27,2019,ESCCOL,POL,animals,0.889637555,0,502,0,E. coli,polymyxins
MS27,Member State 27,2019,ESCCOL,AMP,animals,12.74623999,181,502,0.360557769,E. coli,aminopenicillins
MS13,Member State 13,2019,ESCCOL,TET,animals,20.88551499,299,876,0.341324201,E. coli,tetracyclines
MS13,Member State 13,2019,ESCCOL,QALL,animals,0.77900519,162,876,0.184931507,E. coli,fluoroquinolones and other quinolones
MS13,Member State 13,2019,ESCCOL,CEPH,animals,0.287116346,25,876,0.028538813,E. coli,third- and fourth-generation cephalosporins 
MS13,Member State 13,2019,ESCCOL,POL,animals,11.25729372,16,876,0.01826484,E. coli,polymyxins
MS13,Member State 13,2019,ESCCOL,AMP,animals,29.76069029,352,876,0.401826484,E. coli,aminopenicillins
MS9,Member State 9,2019,ESCCOL,TET,animals,5.494559374,173,528,0.327651515,E. coli,tetracyclines
MS9,Member State 9,2019,ESCCOL,QALL,animals,0.239911893,19,528,0.035984848,E. coli,fluoroquinolones and other quinolones
MS9,Member State 9,2019,ESCCOL,CEPH,animals,0.005960644,0,528,0,E. coli,third- and fourth-generation cephalosporins 
