"ReportingCountry","country_name","Year","Pathogen","Class","PCU_ANIMALS","NS","Tested","PR_h","pathogen_name","class_name"
"MS23","Member State 23",2014,"CAMJEJ","TET",33.4760322321843,125,358,0.349162011173184,"C. jejuni","tetracyclines"
"MS23","Member State 23",2014,"CAMCOL","TET",31.8419982991936,33,44,0.75,"C. coli","tetracyclines"
"MS23","Member State 23",2014,"SLMSPP","TET",30.5049848553781,305,1690,0.180473372781065,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2014,"ESCCOL","AMP",6.75509004983649,2360,4742,0.497680303669338,"E. coli","aminopenicillins"
"MS23","Member State 23",2014,"SLMSPP","AMP",6.90470161751646,246,1690,0.145562130177515,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2014,"ESCCOL","CEPH",0.182027520869829,468,4739,0.098755011605824,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2014,"SLMSPP","CEPH",0.128517958513576,11,1690,0.00650887573964497,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2014,"CAMJEJ","MAC",3.91549858976487,0,358,0,"C. jejuni","macrolides"
"MS23","Member State 23",2014,"CAMCOL","MAC",4.20189976771666,4,44,0.0909090909090909,"C. coli","macrolides"
"MS23","Member State 23",2014,"ESCCOL","QALL",0.364579880819865,933,4642,0.200990952175786,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2014,"CAMJEJ","QALL",0.515653715837544,252,358,0.70391061452514,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2014,"CAMCOL","QALL",0.478391384955006,37,44,0.840909090909091,"C. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2014,"SLMSPP","QALL",0.5195614996488,319,1690,0.188757396449704,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2015,"CAMJEJ","TET",27.7943560633945,165,393,0.419847328244275,"C. jejuni","tetracyclines"
"MS23","Member State 23",2015,"CAMCOL","TET",22.1742264663428,24,39,0.615384615384615,"C. coli","tetracyclines"
"MS23","Member State 23",2015,"SLMSPP","TET",26.2028266956772,225,1556,0.144601542416452,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2015,"ESCCOL","AMP",4.62268378005314,2426,4880,0.497131147540984,"E. coli","aminopenicillins"
"MS23","Member State 23",2015,"SLMSPP","AMP",6.9314692931877,212,1556,0.136246786632391,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2015,"ESCCOL","CEPH",0.167499994110512,535,4900,0.109183673469388,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2015,"SLMSPP","CEPH",0.174176525716434,8,1556,0.0051413881748072,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2015,"CAMJEJ","MAC",3.36672294291339,5,393,0.0127226463104326,"C. jejuni","macrolides"
"MS23","Member State 23",2015,"CAMCOL","MAC",3.53847393393718,3,39,0.0769230769230769,"C. coli","macrolides"
"MS23","Member State 23",2015,"ESCCOL","QALL",0.511373298865087,959,4808,0.199459234608985,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2015,"CAMJEJ","QALL",0.50097845883419,286,393,0.727735368956743,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2015,"CAMCOL","QALL",0.460538164145513,34,39,0.871794871794872,"C. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2015,"SLMSPP","QALL",0.363460733646528,361,1556,0.232005141388175,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2016,"CAMJEJ","TET",26.0127915466133,159,376,0.422872340425532,"C. jejuni","tetracyclines"
"MS23","Member State 23",2016,"CAMCOL","TET",19.9642988246279,22,37,0.594594594594595,"C. coli","tetracyclines"
"MS23","Member State 23",2016,"SLMSPP","TET",35.4845322873286,209,1460,0.143150684931507,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2016,"ESCCOL","AMP",4.26481938884748,2543,5094,0.499214762465646,"E. coli","aminopenicillins"
"MS23","Member State 23",2016,"SLMSPP","AMP",5.85853233524745,196,1460,0.134246575342466,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2016,"ESCCOL","CEPH",0.224274969413904,546,5267,0.103664325042719,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2016,"SLMSPP","CEPH",0.18307735432909,8,1460,0.00547945205479452,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2016,"CAMJEJ","MAC",3.00099726690783,0,376,0,"C. jejuni","macrolides"
"MS23","Member State 23",2016,"CAMCOL","MAC",2.7372532368772,2,37,0.0540540540540541,"C. coli","macrolides"
"MS23","Member State 23",2016,"ESCCOL","QALL",0.60773069252437,1101,5278,0.208601743084502,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2016,"CAMJEJ","QALL",0.67671870485332,275,376,0.731382978723404,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2016,"CAMCOL","QALL",0.659601538663208,25,37,0.675675675675676,"C. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2016,"SLMSPP","QALL",0.449818427361759,181,1460,0.123972602739726,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2017,"CAMJEJ","TET",21.4067249129746,182,372,0.489247311827957,"C. jejuni","tetracyclines"
"MS23","Member State 23",2017,"CAMCOL","TET",19.3379533053013,18,45,0.4,"C. coli","tetracyclines"
"MS23","Member State 23",2017,"SLMSPP","TET",25.7927533086637,323,1693,0.190785587714117,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2017,"ESCCOL","AMP",6.12192307565862,2545,5188,0.490555127216654,"E. coli","aminopenicillins"
"MS23","Member State 23",2017,"SLMSPP","AMP",5.60720294561748,252,1693,0.148848198464265,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2017,"ESCCOL","CEPH",0.160394285133532,502,5129,0.0978748294014428,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2017,"SLMSPP","CEPH",0.28449303004092,3,1693,0.00177200236266982,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2017,"CAMJEJ","MAC",4.31164535292288,0,372,0,"C. jejuni","macrolides"
"MS23","Member State 23",2017,"CAMCOL","MAC",4.51798721903109,2,45,0.0444444444444444,"C. coli","macrolides"
"MS23","Member State 23",2017,"SLMSPP","MAC",3.67459140289596,0,19,0,"Salmonella spp.","macrolides"
"MS23","Member State 23",2017,"ESCCOL","QALL",0.325258686627021,1160,5367,0.216135643748835,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2017,"CAMJEJ","QALL",0.579747809044995,247,372,0.663978494623656,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2017,"CAMCOL","QALL",0.466117316761636,31,45,0.688888888888889,"C. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2017,"SLMSPP","QALL",0.433273671437046,271,1693,0.160070880094507,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2018,"CAMJEJ","TET",40.3571851877296,149,356,0.418539325842697,"C. jejuni","tetracyclines"
"MS23","Member State 23",2018,"CAMCOL","TET",30.112686162923,27,57,0.473684210526316,"C. coli","tetracyclines"
"MS23","Member State 23",2018,"SLMSPP","TET",24.2575368040131,249,1538,0.161898569570871,"Salmonella spp.","tetracyclines"
