ReportingCountry,country_name,Year,Pathogen,Class,DID_TOTAL,NS,Tested,PR_h,pathogen_name,class_name
MS14,Member State 14,2013,ESCCOL,AMP,7.131261348,2445,4350,0.562068966,E. coli,aminopenicillins
MS14,Member State 14,2013,SLMSPP,AMP,9.773657714,397,887,0.447576099,Salmonella spp.,aminopenicillins
MS22,Member State 22,2013,ESCCOL,AMP,6.311044948,118,160,0.7375,E. coli,aminopenicillins
MS4,Member State 4,2013,ESCCOL,AMP,7.687133199,121,162,0.74691358,E. coli,aminopenicillins
MS13,Member State 13,2013,ESCCOL,AMP,3.037789101,2767,5306,0.521485111,E. coli,aminopenicillins
MS13,Member State 13,2013,SLMSPP,AMP,3.242930234,827,2017,0.410014874,Salmonella spp.,aminopenicillins
MS9,Member State 9,2013,ESCCOL,AMP,1.931121763,2199,3965,0.554602774,E. coli,aminopenicillins
MS9,Member State 9,2013,SLMSPP,AMP,1.79128009,73,171,0.426900585,Salmonella spp.,aminopenicillins
MS10,Member State 10,2013,ESCCOL,AMP,2.627027105,109,235,0.463829787,E. coli,aminopenicillins
MS10,Member State 10,2013,SLMSPP,AMP,2.868301239,36,149,0.241610738,Salmonella spp.,aminopenicillins
MS26,Member State 26,2013,ESCCOL,AMP,12.11666482,676,1149,0.588337685,E. coli,aminopenicillins
MS26,Member State 26,2013,SLMSPP,AMP,8.920931089,25,138,0.18115942,Salmonella spp.,aminopenicillins
MS17,Member State 17,2013,ESCCOL,AMP,2.74965111,793,2124,0.373352166,E. coli,aminopenicillins
MS17,Member State 17,2013,SLMSPP,AMP,2.75637405,78,336,0.232142857,Salmonella spp.,aminopenicillins
MS12,Member State 12,2013,ESCCOL,AMP,12.93986856,5826,10146,0.57421644,E. coli,aminopenicillins
MS12,Member State 12,2013,SLMSPP,AMP,13.09750161,306,997,0.306920762,Salmonella spp.,aminopenicillins
MS7,Member State 7,2013,ESCCOL,AMP,9.71797839,557,1036,0.537644788,E. coli,aminopenicillins
MS21,Member State 21,2013,ESCCOL,AMP,4.195458046,851,1411,0.603118356,E. coli,aminopenicillins
MS21,Member State 21,2013,SLMSPP,AMP,5.612802744,358,675,0.53037037,Salmonella spp.,aminopenicillins
MS5,Member State 5,2013,ESCCOL,AMP,6.602197074,1735,2465,0.703853955,E. coli,aminopenicillins
MS5,Member State 5,2013,SLMSPP,AMP,7.879179101,63,207,0.304347826,Salmonella spp.,aminopenicillins
MS28,Member State 28,2013,ESCCOL,AMP,4.522166186,50,121,0.41322314,E. coli,aminopenicillins
MS28,Member State 28,2013,SLMSPP,AMP,5.988920853,1,16,0.0625,Salmonella spp.,aminopenicillins
MS16,Member State 16,2013,ESCCOL,AMP,14.91696976,1573,2356,0.667657046,E. coli,aminopenicillins
MS16,Member State 16,2013,SLMSPP,AMP,15.35116931,378,672,0.5625,Salmonella spp.,aminopenicillins
MS15,Member State 15,2013,ESCCOL,AMP,8.488767738,247,434,0.569124424,E. coli,aminopenicillins
MS15,Member State 15,2013,SLMSPP,AMP,6.628852843,274,1178,0.232597623,Salmonella spp.,aminopenicillins
MS24,Member State 24,2013,ESCCOL,AMP,9.319945385,172,299,0.575250836,E. coli,aminopenicillins
MS24,Member State 24,2013,SLMSPP,AMP,10.18187708,51,120,0.425,Salmonella spp.,aminopenicillins
MS11,Member State 11,2013,ESCCOL,AMP,3.039495953,74,135,0.548148148,E. coli,aminopenicillins
MS11,Member State 11,2013,SLMSPP,AMP,6.301368276,0,37,0,Salmonella spp.,aminopenicillins
MS8,Member State 8,2013,ESCCOL,AMP,5.325938797,131,242,0.541322314,E. coli,aminopenicillins
MS8,Member State 8,2013,SLMSPP,AMP,6.04540018,53,82,0.646341463,Salmonella spp.,aminopenicillins
MS1,Member State 1,2013,ESCCOL,AMP,3.47756423,3388,6666,0.508250825,E. coli,aminopenicillins
MS1,Member State 1,2013,SLMSPP,AMP,2.87117373,236,742,0.318059299,Salmonella spp.,aminopenicillins
MS19,Member State 19,2013,ESCCOL,AMP,0.977356887,1309,3016,0.434018568,E. coli,aminopenicillins
MS19,Member State 19,2013,SLMSPP,AMP,0.758131339,66,367,0.179836512,Salmonella spp.,aminopenicillins
MS18,Member State 18,2013,ESCCOL,AMP,5.290244714,1594,2677,0.59544266,E. coli,aminopenicillins
MS25,Member State 25,2013,ESCCOL,AMP,9.552316329,187,279,0.670250896,E. coli,aminopenicillins
MS25,Member State 25,2013,SLMSPP,AMP,12.49869005,59,222,0.265765766,Salmonella spp.,aminopenicillins
MS30,Member State 30,2013,ESCCOL,AMP,5.597743837,638,1224,0.52124183,E. coli,aminopenicillins
MS30,Member State 30,2013,SLMSPP,AMP,5.111183894,32,313,0.102236422,Salmonella spp.,aminopenicillins
MS6,Member State 6,2013,ESCCOL,AMP,5.866920996,489,786,0.622137405,E. coli,aminopenicillins
MS6,Member State 6,2013,SLMSPP,AMP,4.763478715,98,649,0.151001541,Salmonella spp.,aminopenicillins
MS14,Member State 14,2014,ESCCOL,AMP,11.29473042,1688,2876,0.586926287,E. coli,aminopenicillins
MS14,Member State 14,2014,SLMSPP,AMP,8.077887229,342,871,0.392652124,Salmonella spp.,aminopenicillins
MS22,Member State 22,2014,ESCCOL,AMP,8.056144589,125,159,0.786163522,E. coli,aminopenicillins
MS4,Member State 4,2014,ESCCOL,AMP,4.369920983,112,153,0.732026144,E. coli,aminopenicillins
MS13,Member State 13,2014,ESCCOL,AMP,3.518947431,2973,5543,0.536352156,E. coli,aminopenicillins
MS13,Member State 13,2014,SLMSPP,AMP,2.287010617,767,2724,0.281571219,Salmonella spp.,aminopenicillins
MS9,Member State 9,2014,ESCCOL,AMP,2.557191072,2270,4490,0.505567929,E. coli,aminopenicillins
MS9,Member State 9,2014,SLMSPP,AMP,1.45515472,150,408,0.367647059,Salmonella spp.,aminopenicillins
MS10,Member State 10,2014,ESCCOL,AMP,2.946592194,131,261,0.501915709,E. coli,aminopenicillins
MS10,Member State 10,2014,SLMSPP,AMP,3.297646138,5,21,0.238095238,Salmonella spp.,aminopenicillins
MS26,Member State 26,2014,ESCCOL,AMP,6.728712561,567,1057,0.536423841,E. coli,aminopenicillins
MS26,Member State 26,2014,SLMSPP,AMP,7.42648801,1,9,0.111111111,Salmonella spp.,aminopenicillins
MS17,Member State 17,2014,ESCCOL,AMP,3.487186043,808,2365,0.341649049,E. coli,aminopenicillins
MS17,Member State 17,2014,SLMSPP,AMP,3.526132062,70,308,0.227272727,Salmonella spp.,aminopenicillins
MS12,Member State 12,2014,ESCCOL,AMP,9.658449561,6119,10325,0.592639225,E. coli,aminopenicillins
MS12,Member State 12,2014,SLMSPP,AMP,10.11272099,345,1271,0.271439811,Salmonella spp.,aminopenicillins
MS7,Member State 7,2014,ESCCOL,AMP,7.926137242,595,1077,0.552460539,E. coli,aminopenicillins
MS21,Member State 21,2014,ESCCOL,AMP,6.266454719,941,1603,0.587024329,E. coli,aminopenicillins
MS21,Member State 21,2014,SLMSPP,AMP,5.451490574,242,1024,0.236328125,Salmonella spp.,aminopenicillins
MS5,Member State 5,2014,ESCCOL,AMP,5.14257797,1902,2694,0.706013363,E. coli,aminopenicillins
MS5,Member State 5,2014,SLMSPP,AMP,6.07206561,54,171,0.315789474,Salmonella spp.,aminopenicillins
MS16,Member State 16,2014,ESCCOL,AMP,7.414570762,1452,2178,0.666666667,E. coli,aminopenicillins
MS16,Member State 16,2014,SLMSPP,AMP,12.78849453,29,111,0.261261261,Salmonella spp.,aminopenicillins
MS15,Member State 15,2014,ESCCOL,AMP,5.214551854,326,590,0.552542373,E. coli,aminopenicillins
MS15,Member State 15,2014,SLMSPP,AMP,6.235379351,300,1122,0.267379679,Salmonella spp.,aminopenicillins
MS24,Member State 24,2014,ESCCOL,AMP,10.1622447,223,371,0.601078167,E. coli,aminopenicillins
MS24,Member State 24,2014,SLMSPP,AMP,8.709526194,12,72,0.166666667,Salmonella spp.,aminopenicillins
MS11,Member State 11,2014,ESCCOL,AMP,3.655473917,94,182,0.516483516,E. coli,aminopenicillins
MS11,Member State 11,2014,SLMSPP,AMP,4.467051618,11,26,0.423076923,Salmonella spp.,aminopenicillins
MS8,Member State 8,2014,ESCCOL,AMP,5.169546835,136,268,0.507462687,E. coli,aminopenicillins
MS8,Member State 8,2014,SLMSPP,AMP,11.16763817,41,146,0.280821918,Salmonella spp.,aminopenicillins
MS1,Member State 1,2014,ESCCOL,AMP,1.492568552,3589,7126,0.503648611,E. coli,aminopenicillins
MS1,Member State 1,2014,SLMSPP,AMP,3.964080172,232,714,0.324929972,Salmonella spp.,aminopenicillins
MS19,Member State 19,2014,ESCCOL,AMP,0.994524244,1445,3404,0.424500588,E. coli,aminopenicillins
MS19,Member State 19,2014,SLMSPP,AMP,0.782248673,102,344,0.296511628,Salmonella spp.,aminopenicillins
MS29,Member State 29,2014,ESCCOL,AMP,6.508308772,157,268,0.585820896,E. coli,aminopenicillins
MS18,Member State 18,2014,ESCCOL,AMP,7.630787282,2909,4899,0.593794652,E. coli,aminopenicillins
MS18,Member State 18,2014,SLMSPP,AMP,12.30978604,90,142,0.633802817,Salmonella spp.,aminopenicillins
MS25,Member State 25,2014,ESCCOL,AMP,16.66992443,168,253,0.664031621,E. coli,aminopenicillins
MS25,Member State 25,2014,SLMSPP,AMP,12.35513072,50,216,0.231481481,Salmonella spp.,aminopenicillins
MS30,Member State 30,2014,ESCCOL,AMP,5.65919992,673,1216,0.553453947,E. coli,aminopenicillins
MS30,Member State 30,2014,SLMSPP,AMP,4.661856651,82,591,0.138747885,Salmonella spp.,aminopenicillins
MS6,Member State 6,2014,ESCCOL,AMP,4.34783022,576,866,0.665127021,E. coli,aminopenicillins
MS6,Member State 6,2014,SLMSPP,AMP,4.979912497,80,672,0.119047619,Salmonella spp.,aminopenicillins
MS14,Member State 14,2015,ESCCOL,AMP,14.22353631,1575,2674,0.589005236,E. coli,aminopenicillins
MS14,Member State 14,2015,SLMSPP,AMP,9.367974499,443,1000,0.443,Salmonella spp.,aminopenicillins
MS22,Member State 22,2015,ESCCOL,AMP,5.771348815,97,143,0.678321678,E. coli,aminopenicillins
MS4,Member State 4,2015,ESCCOL,AMP,11.48769744,89,123,0.723577236,E. coli,aminopenicillins
MS4,Member State 4,2015,SLMSPP,AMP,9.589861033,20,94,0.212765957,Salmonella spp.,aminopenicillins
MS13,Member State 13,2015,ESCCOL,AMP,2.963764623,4474,8358,0.535295525,E. coli,aminopenicillins
MS13,Member State 13,2015,SLMSPP,AMP,2.318383868,520,1777,0.292628025,Salmonella spp.,aminopenicillins
MS9,Member State 9,2015,ESCCOL,AMP,2.100696011,2406,4594,0.5237266,E. coli,aminopenicillins
MS9,Member State 9,2015,SLMSPP,AMP,1.668397026,94,275,0.341818182,Salmonella spp.,aminopenicillins
MS10,Member State 10,2015,ESCCOL,AMP,2.837001914,93,196,0.474489796,E. coli,aminopenicillins
MS10,Member State 10,2015,SLMSPP,AMP,2.607750465,18,72,0.25,Salmonella spp.,aminopenicillins
