"ReportingCountry","country_name","Year","Pathogen","Class","Animal","NS_a","Tested_a","PR_a","NS","Tested","PR_h","pathogen_name","class_name"
"MS23","Member State 23",2020,"ESCCOL","QALL","broilers",81,170,0.476470588235294,1046,5373,0.194677089149451,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"SLMSPP","TET","broilers",111,170,0.652941176470588,104,894,0.116331096196868,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2020,"ESCCOL","AMP","turkeys",69,170,0.405882352941176,2208,4798,0.460191746561067,"E. coli","aminopenicillins"
"MS23","Member State 23",2021,"CAMCOL","QALL","pigs",113,191,0.591623036649215,39,49,0.795918367346939,"C. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"SLMSPP","AMP","turkeys",4,10,0.4,137,894,0.15324384787472,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2021,"ESCCOL","QALL","pigs",8,175,0.0457142857142857,949,5539,0.17133056508395,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2019,"ESCCOL","AMP","pigs",37,174,0.21264367816092,2819,6042,0.466567361800728,"E. coli","aminopenicillins"
"MS23","Member State 23",2020,"SLMSPP","AMP","SIMR",10,180,0.0555555555555556,130,894,0.145413870246085,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2021,"SLMSPP","TET","pig carcasses",6,7,0.857142857142857,127,1052,0.120722433460076,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2020,"SLMSPP","QALL","SIMR",127,180,0.705555555555556,183,894,0.204697986577181,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"SLMSPP","QALL","turkeys",0,10,0,203,894,0.227069351230425,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2021,"SLMSPP","QALL","SIMR",124,180,0.688888888888889,185,1052,0.175855513307985,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"SLMSPP","TET","SIMR",113,180,0.627777777777778,132,894,0.147651006711409,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2021,"SLMSPP","TET","SIMR",110,180,0.611111111111111,135,1052,0.128326996197719,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2020,"ESCCOL","CEPH","broilers",0,170,0,557,5376,0.103608630952381,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2021,"SLMSPP","AMP","SIMR",7,180,0.0388888888888889,125,1052,0.118821292775665,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2020,"CAMJEJ","MAC","turkeys",0,77,0,0,397,0,"C. jejuni","macrolides"
"MS23","Member State 23",2020,"SLMSPP","CEPH","broilers",1,170,0.00588235294117647,6,894,0.00671140939597315,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2020,"ESCCOL","CEPH","turkeys",0,170,0,539,5376,0.100260416666667,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2021,"ESCCOL","CEPH","pigs",3,175,0.0171428571428571,507,5537,0.0915658298717717,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2020,"ESCCOL","QALL","turkeys",35,170,0.205882352941176,988,5373,0.183882374837149,"E. coli","fluoroquinolones and other quinolones"
