"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",4.170710103,3.470890477,2.210208588,2836,2156,2154,6042,4798,4805
"MS14",11.26785473,7.635513905,6.672729993,2053,2297,2482,3601,4009,4389
"MS22",7.332187269,4.936814226,3.296960792,211,177,164,352,261,263
"MS4",12.25920813,7.842373483,6.940615908,60,71,142,92,114,191
"MS27",3.818754149,3.890083338,3.445595111,1962,1554,1540,3556,2997,2934
"MS13",3.543087177,2.585252004,1.923136806,16540,17244,13678,23324,28227,28500
"MS9",1.620478536,1.489654571,1.231230209,2614,2604,2471,5593,5864,6001
"MS10",3.835906402,3.579782672,3.749189141,209,200,142,499,422,338
"MS26",10.17334265,10.16551683,6.564159533,89,251,316,154,452,557
"MS20",10.48897094,8.195595166,11.54625718,4917,4229,3925,7831,7214,6969
"MS17",2.249214537,2.266467192,2.070779035,1078,972,936,3000,2928,3177
"MS12",14.31475077,13.09024658,10.33234155,7356,9546,9303,13415,17674,17706
"MS7",7.865543732,5.491637932,7.232350446,634,478,430,1108,827,728
"MS21",3.927775364,2.509185236,3.358814749,1403,1065,1322,2363,1804,2263
"MS5",12.90989328,5.516254184,5.914332352,2113,1869,1866,3201,2841,2898
"MS28",5.341490924,3.08801022,4.682094766,140,142,139,257,245,277
"MS16",9.952562759,8.155977475,9.988304587,3051,2754,3203,4457,4214,5518
"MS15",7.163533236,4.543740479,8.990442722,652,647,627,1129,1138,1147
"MS24",7.778314956,8.271486721,5.73275035,300,208,206,492,427,352
"MS11",3.626778939,4.687031615,3.376404175,267,193,167,438,374,344
"MS8",6.78250232,7.306344056,7.673967111,214,155,205,332,277,299
"MS1",2.310215369,2.289750272,1.304271622,3438,3347,2789,7301,7494,6571
"MS19",0.73607731,0.54143022,0.52290758,1674,1535,1314,4072,3758,3837
"MS29",9.683299767,4.773732842,6.103564807,533,298,503,836,502,809
"MS18",9.631428063,6.129511544,6.068188049,3424,3190,2746,5933,5849,5164
"MS25",10.7320723,9.196409641,9.386574906,361,185,230,538,316,352
"MS30",7.708106856,4.412619725,4.271875618,839,827,834,1610,1617,1681
"MS6",3.783003653,3.394776283,2.264964269,498,410,354,849,728,660
