"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",3.33638686,3.257117432,2.963342028,222,127,116,1884,894,1052
"MS14",6.194612329,6.865838669,8.766945476,462,317,322,986,706,747
"MS4",9.16790581,9.624393552,6.113787151,28,16,12,96,106,75
"MS13",2.980236323,3.410022885,2.078614433,1207,0,801,4681,23,2985
"MS9",1.770173562,1.62163506,1.037359858,88,61,60,197,252,343
"MS10",5.581946052,3.006075962,3.094008768,41,25,47,153,95,130
"MS26",9.094065921,5.94063721,9.278198185,6,8,9,50,166,249
"MS20",11.79972433,11.4198699,8.700625767,588,236,239,1409,768,1002
"MS17",3.351924744,1.280475551,1.594011315,24,32,45,107,100,167
"MS12",13.30370137,7.758301131,11.69904434,191,174,196,842,713,833
"MS5",9.369513409,5.948471307,NA,45,45,NA,185,183,NA
"MS28",4.701620695,3.357600364,3.508701826,7,7,7,26,20,48
"MS16",11.08579864,6.256720218,6.209751322,242,380,294,569,872,692
"MS15",7.697964899,NA,7.033340278,131,NA,50,712,NA,212
"MS24",11.11195021,3.361927637,3.97302833,40,28,36,131,90,116
"MS11",7.200229375,4.789646186,3.411995948,19,3,1,81,18,8
"MS8",7.202734522,5.075826381,6.14540844,38,31,59,113,164,205
"MS1",1.962469844,2.011001695,2.015431832,188,169,164,727,494,612
"MS19",1.111516665,0.693480111,0.446678748,47,22,36,216,232,200
"MS29",5.051560759,NA,5.713986696,248,NA,5,1011,NA,75
"MS18",8.000074277,6.039635321,8.890435993,141,84,99,463,238,278
"MS25",11.32380433,10.78654139,7.055945299,41,5,4,148,36,25
"MS3",0.910149172,0.550133486,0.626093187,179,66,85,613,347,619
"MS30",4.353156686,3.834553275,3.426780218,122,32,27,357,185,176
"MS6",4.370964976,2.254358676,3.255793091,71,53,50,652,472,696
"MS21",NA,3.184949035,3.25947647,NA,350,237,NA,627,534
"MS22",NA,NA,3.894075885,NA,NA,0,NA,NA,1
