"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.128997076,NA,0.098534863,4,NA,3,5935,NA,5206
"MS14",0.043137792,0.038632672,0.049437231,4,6,7,3926,4126,4722
"MS22",0.040601661,0.066141264,0.14842903,0,2,3,352,261,263
"MS4",0.133480418,0.197803039,0.146233754,0,0,0,92,114,192
"MS27",0.077791471,0.080182604,0.13236039,26,5,4,1689,1500,1342
"MS13",0.017125532,0.011956351,0.01907179,4,8,12,23391,28458,29015
"MS9",0.047453437,0.044072893,0.053159511,8,12,4,5577,5840,5845
"MS10",0.050477402,0.083361146,0.079928917,0,0,0,800,861,826
"MS26",0.154567439,0.187334041,0.270365709,3,1,10,203,566,728
"MS20",0.071504883,0.136289679,0.09390274,165,54,25,8346,7848,6121
"MS17",0.046218153,0.058461035,0.050000212,2,1,1,5331,5375,5801
"MS12",0.034605805,0.036571956,0.039550224,12,17,8,12636,17838,17546
"MS7",0.082218619,0.067203188,0.093870875,14,1,2,1090,820,686
"MS21",0.053323911,0.092829414,0.064425877,0,0,22,2326,1917,2391
"MS5",0.063225322,0.054034466,0.054004236,0,0,1,3229,2820,2891
"MS28",0.037610037,0.028807289,0.027916243,0,0,0,2,245,276
"MS16",0.043112512,0.057060828,0.08028446,75,126,127,17086,18001,19905
"MS15",0.042791478,0.03575915,0.054904052,2,0,6,1122,1142,1149
"MS24",0.056871185,0.047492892,0.04112874,6,0,0,492,428,354
"MS11",0.049241521,0.043925098,0.034398958,0,0,0,439,378,393
"MS8",0.091756616,0.065703666,0.093092543,0,0,0,332,277,299
"MS1",0.018446538,0.009241314,0.016981816,1,4,0,7299,7487,6569
"MS19",0.032303006,0.027699927,0.022642775,7,2,0,4040,3646,3820
"MS29",0.018801441,0.021917449,0.03713695,1,8,6,2683,2080,2290
"MS18",0.076944701,0.069669203,0.12013974,7,13,12,6372,5833,5466
"MS25",0.057078666,0.063282555,0.079367687,2,4,2,666,454,498
"MS3",0.03603811,0.039077996,0.055381651,5,3,6,9413,9846,10626
"MS30",0.037294992,0.047439655,0.082310314,0,0,0,1610,1617,1681
"MS6",0.056443502,0.043421907,0.067070117,0,3,1,785,705,625
