"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.1187048,0.103465082,0.101646419,16,53,12,1296,1055,1229
"MS14",0.039007762,0.049840395,0.039121124,16,15,12,757,881,926
"MS22",0.039091037,0.087157648,0.176905196,82,70,110,267,249,242
"MS4",0.154858925,0.209857855,0.18951932,11,21,43,60,86,141
"MS27",0.086353014,0.104761521,0.11799849,11,16,28,1314,1232,1348
"MS13",0.011990762,0.014939887,0.01909377,45,32,59,4718,5991,6538
"MS9",0.037972814,0.047233435,0.066230254,10,14,4,1356,1413,1324
"MS10",0.070307588,0.058867039,0.129525311,0,0,3,152,173,218
"MS26",0.153889827,0.154765955,0.155104334,182,510,1046,312,726,1418
"MS20",0.083754063,0.075592965,0.106990433,149,173,143,2398,2228,1791
"MS17",0.045108105,0.073258633,0.032099619,4,0,2,850,901,971
"MS12",0.029190515,0.031310141,0.042279934,39,35,31,3003,4796,4727
"MS7",0.068765609,0.066226013,0.161720591,46,66,153,325,267,353
"MS21",0.059340377,0.059532588,0.070827151,14,14,22,890,721,1092
"MS5",0.049277065,0.042574839,0.054825352,3,5,6,527,477,497
"MS16",0.052683267,0.061131997,0.059603883,2232,2664,2487,7325,8293,8760
"MS15",0.045598615,0.063659735,0.040821086,23,11,12,438,413,511
"MS24",0.059935896,0.048841122,0.05730857,0,1,0,103,87,101
"MS11",0.023887996,0.04878996,0.034299079,0,7,6,198,189,253
"MS8",0.051061428,0.103673922,0.073419744,18,18,15,129,132,135
"MS1",0.012642177,0.017040027,0.022929295,6,0,7,1433,1396,1270
"MS19",0.026303433,0.033059688,0.021490527,1,0,3,826,687,783
"MS29",0.030022932,0.03669487,0.034418023,91,100,294,1155,1074,1429
"MS18",0.071725446,0.079784848,0.077549529,346,335,299,2690,2780,2520
"MS25",0.093788668,0.113256645,0.129579265,153,263,302,470,474,538
"MS3",0.03747581,0.029281957,0.050388565,5,2,3,1793,1843,1997
"MS30",0.071442404,0.05343081,0.059144609,2,0,5,303,291,351
"MS6",0.0553063,0.044137978,0.063002696,24,45,72,351,392,515
"MS28",NA,0.030643931,0.037195469,NA,0,0,NA,32,29
