"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.397811042,0.206237109,0.340535204,583,541,514,6106,5376,5537
"MS14",0.132025628,0.093617708,0.101053665,430,463,443,3937,4320,4721
"MS22",1.578089834,1.835343878,3.979142678,137,102,108,352,261,263
"MS4",0.913773544,1.074597517,1.252003663,27,38,66,92,114,192
"MS27",0.114621477,0.165408735,0.12965981,566,459,479,3557,2997,2934
"MS13",0.292731299,0.386651983,0.429563499,2843,3110,2806,23413,28461,29021
"MS9",0.02500882,0.020629494,0.020357361,456,414,334,5091,5286,5416
"MS10",0.071007068,0.058250555,0.077824548,102,108,92,910,979,929
"MS26",0.400657368,0.337394235,0.35950361,44,128,162,190,567,727
"MS20",0.603844206,0.651810741,0.51662392,1188,1114,1053,8345,7744,7319
"MS17",0.097066044,0.084683107,0.058094949,478,455,422,5413,5367,5799
"MS12",1.204231753,1.035462222,0.793193001,1254,1966,1655,13019,18857,18735
"MS7",0.612591244,0.766431913,1.083913082,199,165,151,1085,827,726
"MS21",0.527089542,0.628657683,0.470854698,507,423,535,2413,1962,2470
"MS5",0.09251362,0.057859958,0.067661834,436,379,325,3231,2850,2903
"MS28",0.131692595,0.085057379,0.151473406,20,28,32,257,245,278
"MS16",2.765780174,2.064218351,1.22530038,5770,5148,5304,18409,18750,21153
"MS15",0.156444828,0.146879256,0.123594518,161,193,158,1132,1142,1153
"MS24",0.168097017,0.23040776,0.150125938,77,49,38,492,428,354
"MS11",0.536106647,0.374117236,0.466506839,81,103,73,442,378,393
"MS8",0.653846421,0.645630197,0.357297589,72,35,45,332,277,299
"MS1",0.109338712,0.059071176,0.09709013,608,551,483,7300,7494,6575
"MS19",0.112612671,0.094822817,0.171038253,289,216,270,4075,3762,3839
"MS29",0.246444412,0.239865504,0.266647207,505,371,457,2803,2172,2371
"MS18",0.289708721,0.375306378,0.313563114,1097,926,792,6390,5793,5615
"MS25",1.471808142,0.972080882,2.060811415,143,104,100,664,452,495
"MS3",0.109976831,0.073130456,0.072497613,769,841,807,9419,9852,10633
"MS30",0.269397959,0.136368875,0.156787438,149,175,159,1610,1617,1681
"MS6",0.996329143,0.833463365,0.885881563,229,181,146,846,727,649
