"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",8.376220299,10.66461035,10.11775272,4753,4084,4201,6072,5192,5286
"MS14",12.87756257,16.89918635,13.45273984,3006,3345,3304,3920,4312,4265
"MS22",15.04754376,20.21962244,28.95263465,178,86,139,352,219,263
"MS4",30.74067553,37.65486637,32.97232915,54,56,69,92,114,192
"MS27",11.14197623,9.534710917,17.93589769,2546,2264,2222,3554,2995,2934
"MS13",13.94219877,10.95840167,8.231343066,17444,21014,21940,22971,27110,27427
"MS9",18.38726131,12.34876998,17.04344732,4257,4440,4603,5084,5277,5409
"MS10",12.18227991,11.14421577,11.81030451,703,783,745,894,948,917
"MS26",28.50538273,19.6033631,23.03557968,116,346,426,186,561,717
"MS20",30.48561453,27.78006965,22.86908905,5366,5022,4984,8138,7512,7302
"MS17",12.8876316,13.09042852,6.670676018,4392,4582,4985,5151,5346,5799
"MS12",22.47985758,14.31388102,22.65894525,10021,13834,14028,12639,17433,17301
"MS7",13.0386149,11.99937136,13.026306,754,524,485,1064,825,714
"MS21",13.01234399,16.61750089,12.13539071,1527,1229,1580,2397,1950,2452
"MS5",21.32279828,21.01210262,24.76097797,2434,2094,2239,3222,2841,2895
"MS28",13.60918838,10.96273776,18.69326887,204,190,220,251,245,277
"MS16",28.59845967,18.74056616,15.15445272,9663,10061,12619,17961,17593,20392
"MS15",13.19303397,9.938856426,12.46925155,858,863,844,1126,1135,1126
"MS24",16.92808922,10.98712816,12.29745964,355,303,266,492,428,354
"MS11",14.22688588,12.05683817,7.124026398,330,255,290,440,376,391
"MS8",22.24942909,16.59635649,18.87015498,201,165,218,332,277,299
"MS1",7.132932661,6.430631731,11.39565496,5818,6114,5433,7296,7486,6574
"MS19",13.73830001,14.39216086,14.06775665,3483,3225,3316,4068,3734,3826
"MS29",25.25385861,20.31120395,16.44476907,1666,1248,1326,2564,1998,2077
"MS18",16.17544389,11.20795662,14.75646586,4353,4069,4060,6384,5716,5591
"MS25",31.76057901,27.14683595,24.97399827,396,250,260,576,360,401
"MS3",7.353239291,9.761564369,8.706956276,7552,7962,8368,9405,9792,10247
"MS30",10.95741204,12.88731992,9.453137788,1267,1253,1331,1610,1616,1681
"MS6",21.42249713,13.36876715,15.35147092,534,457,416,842,724,648
