"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",1.277257309,0.790761817,1.21633682,4,0,1,51,40,49
"MS22",4.181428621,NA,NA,1,NA,NA,4,NA,NA
"MS4",3.149829692,2.483217465,3.513985995,0,0,0,9,6,7
"MS10",3.15348143,1.808472621,2.117000125,14,2,6,45,28,27
"MS20",3.139901038,2.192936406,1.906192305,7,0,15,47,3,112
"MS17",0.385851189,0.312581086,0.388766594,92,44,6,353,100,33
"MS12",1.065732188,1.605004392,1.698335754,69,51,66,1061,998,997
"MS28",1.243966303,1.374971471,1.402898886,0,0,0,2,5,1
"MS16",5.205381492,4.657210129,2.586337632,4,1,6,16,15,34
"MS15",2.599643936,NA,1.570662771,3,NA,0,61,NA,11
"MS24",2.833226564,4.008734737,1.65538713,3,5,5,34,26,21
"MS8",4.391439653,2.020732848,2.02817515,1,1,0,40,34,44
"MS1",1.168159777,1.337256362,1.118796742,49,34,4,139,113,91
"MS19",0.689248479,0.50635073,0.43812066,2,0,0,7,1,3
"MS29",5.164128589,2.354224514,3.68575515,0,0,0,18,8,4
"MS18",3.08683855,2.732081873,2.302975155,41,13,30,52,38,47
"MS25",2.624039273,NA,NA,1,NA,NA,9,NA,NA
"MS30",1.008076635,1.923654163,1.391789167,0,2,0,77,45,57
"MS6",4.259040436,3.259273792,2.388078341,2,2,4,74,106,123
"MS3",NA,0.234627177,0.210113701,NA,0,0,NA,7,6
"MS13",NA,NA,0.569806014,NA,NA,11,NA,NA,233
"MS9",NA,NA,1.178344542,NA,NA,2,NA,NA,14
"MS21",NA,NA,1.942755367,NA,NA,0,NA,NA,137
"MS5",NA,NA,2.191380257,NA,NA,0,NA,NA,18
