"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",1.944665335,1.075879939,1.062658229,4,0,0,410,397,419
"MS22",3.683436743,NA,6.351027484,0,NA,0,25,NA,19
"MS4",4.122585,2.876355418,3.254482451,0,0,0,29,17,25
"MS9",1.229788856,1.658714376,1.125987373,1,0,0,158,220,285
"MS10",2.516314742,1.590154917,1.839222396,2,2,3,270,249,184
"MS20",2.720902709,2.805454325,2.057020533,4,0,61,216,21,458
"MS17",0.530582667,0.251523968,0.259434568,60,20,6,3025,1353,997
"MS12",1.300895521,1.586199883,1.678440986,27,18,33,6522,6530,6797
"MS28",1.460704796,1.062487898,1.312331964,2,0,0,82,71,36
"MS16",5.388187754,4.817010419,2.653605379,1,2,0,86,77,105
"MS15",2.192795508,NA,1.510543352,2,NA,4,756,NA,206
"MS24",3.549238578,2.779529611,2.413479128,2,0,0,237,200,187
"MS8",6.028732805,2.498048614,2.01280613,3,0,0,197,138,200
"MS1",1.130434931,1.157963504,1.222124593,34,29,24,1416,1250,1297
"MS19",0.500816284,0.419008657,0.362587399,2,0,4,221,272,266
"MS29",3.944002571,1.727464828,2.87092049,1,1,0,82,28,72
"MS18",2.872131126,2.162733203,1.680620719,12,5,14,302,227,278
"MS25",2.833585698,NA,5.355639154,0,NA,0,8,NA,2
"MS30",1.682537376,1.20862396,1.440440403,10,3,2,958,759,797
"MS6",3.627429868,3.42583332,3.960188324,12,8,2,453,858,1104
"MS5",NA,4.021889707,2.552813419,NA,0,1,NA,1,184
"MS3",NA,0.316458795,0.259096426,NA,0,0,NA,323,244
"MS13",NA,NA,0.47775765,NA,NA,24,NA,NA,1302
"MS21",NA,NA,2.397484072,NA,NA,0,NA,NA,414
