"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.938245398,0.588725874,0.679064107,44,25,41,51,40,49
"MS22",2.315839838,NA,NA,3,NA,NA,4,NA,NA
"MS4",4.939445814,7.974119289,4.32207846,6,5,7,9,6,7
"MS10",0.76477418,0.865431371,0.644170718,38,23,27,45,28,27
"MS20",1.887453077,2.53146246,1.971670714,46,3,101,47,3,109
"MS17",0.639191098,0.52497957,0.382955464,306,83,29,348,97,35
"MS12",1.246350295,1.665353751,1.229884433,645,618,586,1061,998,998
"MS28",0.792389297,0.441760043,0.562104018,2,3,0,2,5,1
"MS16",1.367613414,1.793848235,1.360172,11,15,26,16,15,34
"MS15",0.951230064,NA,0.93235582,55,NA,7,61,NA,11
"MS24",1.542257708,0.980153696,1.302879821,23,19,15,34,26,21
"MS8",2.295207823,1.819036679,1.149397317,31,27,33,40,34,44
"MS1",0.672818038,0.785469715,0.655235894,116,78,73,139,115,92
"MS19",0.321086418,0.343251018,0.23464525,6,1,2,7,1,3
"MS29",1.560624917,1.323590899,1.792438422,4,1,1,4,1,1
"MS18",1.596378095,1.588296424,1.035556239,51,35,47,52,38,47
"MS25",2.165538103,NA,NA,6,NA,NA,9,NA,NA
"MS30",0.977039724,0.822486756,1.303933337,54,38,46,77,45,57
"MS6",1.787661857,0.941488286,1.330987141,136,64,89,156,113,125
"MS3",NA,0.652831892,0.604966172,NA,5,3,NA,7,6
"MS13",NA,NA,0.621318167,NA,NA,163,NA,NA,234
"MS9",NA,NA,0.412499591,NA,NA,8,NA,NA,14
"MS21",NA,NA,1.824936661,NA,NA,126,NA,NA,137
"MS5",NA,NA,0.319188197,NA,NA,5,NA,NA,18
