"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",1.081230403,0.770960107,1.045195728,319,304,357,410,397,419
"MS22",3.590936362,NA,4.490466853,7,NA,15,25,NA,20
"MS4",5.260577195,7.237778851,5.72561094,26,17,23,29,17,25
"MS9",0.428038043,0.453723205,0.371884175,106,99,127,158,220,285
"MS10",0.93012986,1.007695109,0.912351563,255,195,158,270,249,184
"MS20",2.527608144,2.206256014,2.353891071,198,21,371,216,21,450
"MS17",0.437690541,0.81424285,0.455430461,2066,536,384,3014,1339,991
"MS12",1.529680862,0.832324616,1.909980076,3852,3952,4131,6518,6530,6807
"MS28",0.665544931,0.496048782,0.493731225,24,5,0,82,71,36
"MS16",2.626531845,1.490086037,1.999796044,69,63,84,86,77,105
"MS15",1.040359102,NA,0.690418554,715,NA,190,751,NA,206
"MS24",1.834336816,1.385179018,1.227090945,132,141,132,237,200,187
"MS8",1.147751791,1.402937708,1.420237536,129,103,146,198,138,200
"MS1",0.791306434,0.72451958,0.541971805,954,769,717,1410,1270,1311
"MS19",0.384254893,0.230045032,0.24454824,72,36,37,221,272,266
"MS29",1.172793937,1.237022757,1.863352696,20,2,30,28,5,30
"MS18",1.108248777,1.304183789,0.890289599,283,198,249,302,227,278
"MS25",2.783602396,NA,3.122098171,3,NA,0,8,NA,2
"MS30",1.584804544,0.851858313,0.922031187,736,595,632,958,759,797
"MS6",1.224812747,1.721123996,1.478075973,1005,644,831,1161,893,1115
"MS5",NA,0.527268512,0.446522877,NA,1,49,NA,1,174
"MS3",NA,0.645197465,0.889509275,NA,59,106,NA,323,244
"MS13",NA,NA,0.639440911,NA,NA,874,NA,NA,1312
"MS21",NA,NA,1.433461102,NA,NA,363,NA,NA,415
