"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.876063094,1.071904523,0.625168504,1197,1044,901,6111,5373,5539
"MS14",0.69770837,0.42424091,0.692872558,844,973,968,3925,4320,4721
"MS22",3.106709785,3.742316522,4.936394415,151,103,94,352,261,263
"MS4",5.936318136,4.538208457,6.261475155,52,61,90,92,114,192
"MS27",0.587189154,0.821093217,0.838313728,932,590,666,3554,2997,2934
"MS13",0.705918474,0.505712271,0.514091821,4630,5262,4742,23374,28446,28997
"MS9",0.345692502,0.412664259,0.49492615,676,740,723,5605,5870,6016
"MS10",1.003227804,0.815053104,0.741241462,173,160,155,897,959,922
"MS26",3.428414917,3.852570857,1.960339359,72,215,263,203,565,728
"MS20",2.804116236,2.549492293,1.533363628,2497,2290,2175,8192,7799,7465
"MS17",0.846318428,0.558752127,0.610342686,723,664,658,5410,5354,5802
"MS12",1.253453582,1.259123487,1.202327192,2385,3294,2855,13431,18569,18446
"MS7",1.213515641,1.817179277,1.365385335,358,282,250,1108,826,721
"MS21",1.819337957,1.331327346,1.589815577,740,567,717,2398,1958,2460
"MS5",0.781727088,0.650339028,0.576926617,709,592,520,3223,2844,2898
"MS28",0.563621829,0.512336636,0.413240858,32,35,46,252,245,277
"MS16",2.313174967,3.240646907,2.033197988,8297,7652,7749,18417,18840,20989
"MS15",0.848953255,0.953648338,0.59284996,224,243,210,1129,1136,1139
"MS24",2.077787069,1.290619073,1.26432457,108,103,84,492,428,354
"MS11",1.303859423,0.739004318,0.464675633,116,109,102,442,378,392
"MS8",1.566871058,1.71426286,1.848788852,144,94,94,332,277,299
"MS1",0.806464356,0.761431541,0.839193591,1149,1130,1005,7298,7490,6575
"MS19",0.354551723,0.20771268,0.21000535,555,402,399,4068,3735,3827
"MS29",1.455287237,1.252346556,1.376214282,975,780,822,2753,2149,2268
"MS18",2.541390754,1.444478023,1.203298581,1832,1471,1352,6431,5845,5618
"MS25",2.64877798,3.907218955,2.763167394,195,132,150,654,450,498
"MS3",0.558267942,0.837130915,0.472091974,1870,1665,1661,9412,9798,10570
"MS30",1.261873327,1.12927963,0.788587172,322,324,264,1610,1617,1681
"MS6",2.120036088,0.993152052,1.575891469,309,278,214,850,729,662
