"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.811221579,0.925437003,0.557555306,692,177,172,1884,894,1052
"MS14",0.453202447,0.665473168,0.610119456,260,139,79,986,706,747
"MS4",5.926157181,7.365531236,4.931563646,11,21,11,96,105,75
"MS13",0.944461698,0.416290296,0.518983872,544,2,425,4682,33,2986
"MS9",0.450284234,0.267663854,0.623054044,16,15,22,197,252,343
"MS10",0.599753441,0.998081784,0.42895872,47,17,38,153,95,130
"MS26",3.307371064,1.915490234,2.25078394,13,11,13,50,166,249
"MS20",2.379879605,2.182687962,1.615793107,188,83,220,1404,768,1002
"MS17",0.861565706,0.362123725,0.47628647,4,7,42,107,100,167
"MS12",1.499971411,0.924067929,1.078612007,126,75,108,842,713,833
"MS5",1.00685722,0.359120289,NA,12,26,NA,185,182,NA
"MS28",0.587671258,0.607265316,0.824837817,4,1,3,27,21,48
"MS16",2.556739063,3.266868971,1.907313765,93,115,71,569,872,693
"MS15",1.001067606,NA,0.949870397,69,NA,35,589,NA,201
"MS24",1.756813508,1.345432524,2.042614057,5,7,19,131,90,116
"MS11",1.207688402,0.714606889,0.791875206,11,0,0,74,18,8
"MS8",1.966380042,1.796569425,1.681978933,6,2,19,113,32,205
"MS1",0.801128592,0.559543979,0.801977809,119,81,58,727,494,612
"MS19",0.262216828,0.268771103,0.238008662,42,36,23,216,232,200
"MS29",1.125891248,NA,1.574002783,126,NA,65,529,NA,75
"MS18",2.493840874,1.683120008,1.584604508,31,20,35,463,238,278
"MS25",2.421448643,3.24142335,4.179559319,29,19,4,148,36,25
"MS3",0.498856138,0.640428636,0.374793063,72,14,46,613,347,619
"MS30",0.923103933,1.36365647,1.220677516,42,33,36,358,183,175
"MS6",1.952052725,1.918418126,1.222190135,75,67,156,317,403,606
"MS21",NA,1.43658211,1.624866962,NA,73,62,NA,382,531
