"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.309605089,0.394248366,0.391316428,37,21,24,51,40,49
"MS22",1.459250368,NA,NA,1,NA,NA,4,NA,NA
"MS4",3.837369752,4.534825594,3.657910349,7,5,7,9,6,7
"MS10",1.303256642,1.385318627,1.047051301,36,17,21,45,28,27
"MS20",1.996601074,1.918562079,1.421804823,39,3,104,47,3,112
"MS17",2.505691488,3.154280143,2.364209943,120,61,7,178,79,19
"MS12",3.075321244,3.609843119,3.053282742,808,767,761,1060,999,995
"MS16",0.517047665,0.567217086,0.709031661,14,12,21,16,15,34
"MS15",1.743730152,NA,0.956048381,40,NA,3,61,NA,5
"MS24",1.71370449,1.696036887,1.444750762,23,16,10,34,26,21
"MS8",1.385558228,2.627094005,1.657701762,2,2,1,2,3,1
"MS1",1.943797634,1.954441353,1.437328271,93,79,49,124,108,83
"MS19",4.397181025,2.412092239,1.606083843,5,1,0,7,1,3
"MS29",3.09331224,NA,1.331119545,4,NA,0,4,NA,1
"MS18",0.944804457,1.107660864,0.948408355,50,36,47,52,38,47
"MS25",0.861509039,NA,NA,9,NA,NA,9,NA,NA
"MS30",0.434130655,0.421871211,0.459698297,33,28,28,77,45,57
"MS6",1.037886182,1.426869961,1.856297397,108,46,42,135,105,105
"MS3",NA,2.696194651,1.639831323,NA,5,5,NA,7,6
"MS13",NA,NA,1.41252338,NA,NA,163,NA,NA,234
"MS9",NA,NA,1.213043856,NA,NA,7,NA,NA,14
"MS21",NA,NA,1.047475406,NA,NA,70,NA,NA,137
"MS5",NA,NA,4.226306724,NA,NA,4,NA,NA,18
