"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.3537217,0.341268549,0.252463756,198,183,269,410,397,419
"MS22",2.444796142,NA,2.8879063,10,NA,6,25,NA,20
"MS4",3.297981629,5.455023335,3.050423273,15,10,18,29,17,25
"MS9",1.704202847,1.552103551,1.980007611,64,82,91,158,220,285
"MS10",1.559067511,0.944955283,1.086386489,127,119,103,270,249,184
"MS20",1.513191668,1.755266816,1.458963608,181,13,326,215,21,459
"MS17",2.54749671,3.136571351,2.40378862,659,252,53,1529,816,412
"MS12",3.227546075,2.64504984,4.513489834,2926,2968,3185,6510,6524,6792
"MS16",0.729733767,0.541058979,0.84959681,44,41,56,86,77,105
"MS15",1.422740528,NA,1.770438807,259,NA,47,547,NA,97
"MS24",1.46573533,1.311345205,1.811201954,115,89,88,237,200,187
"MS8",1.900082687,2.256638405,2.033470067,3,0,2,4,1,4
"MS1",2.080586706,1.461565381,1.209039522,670,585,482,1282,1126,1162
"MS19",2.715458198,3.662342366,2.996934998,42,14,34,221,272,266
"MS29",2.509988191,1.892286489,1.92044018,12,1,12,26,5,30
"MS18",1.003600973,1.00562679,0.892494953,229,156,212,302,227,278
"MS25",1.288675582,NA,0.818219675,5,NA,0,8,NA,2
"MS30",0.679695292,0.504652047,0.69282861,306,335,367,958,759,797
"MS6",1.885867428,1.461007586,2.301621086,662,302,354,880,851,922
"MS5",NA,2.950151028,2.95006882,NA,1,32,NA,1,184
"MS3",NA,1.890773384,1.608978333,NA,23,21,NA,323,244
"MS13",NA,NA,1.646681119,NA,NA,608,NA,NA,1312
"MS21",NA,NA,0.903473185,NA,NA,204,NA,NA,414
