"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.376527721,0.27775679,0.530337277,253,139,153,1884,894,1052
"MS14",2.690228842,2.13812754,1.374957758,427,264,275,986,706,747
"MS13",2.334315287,NA,1.160158633,1009,NA,767,4669,NA,2985
"MS9",1.730575382,1.282272474,1.97312785,84,54,94,197,252,343
"MS10",1.646661401,1.087238827,1.361838906,43,17,40,153,95,130
"MS26",2.329620135,3.261599385,1.973043213,2,22,11,50,166,249
"MS20",1.042483361,1.406966508,1.335036581,476,199,208,1403,768,1002
"MS17",3.680068599,2.694300602,2.583205579,20,22,37,107,100,167
"MS12",3.777398222,2.009922542,4.770065914,216,201,230,842,713,833
"MS5",2.741536221,3.184816993,NA,49,31,NA,185,183,NA
"MS16",0.845633483,0.919202901,0.82033084,261,427,369,569,872,693
"MS24",2.016351937,1.691217235,1.441844015,51,30,31,130,90,116
"MS1",2.292626747,1.835616342,1.361971164,195,167,156,727,494,612
"MS19",2.210122325,2.051944769,3.051053672,50,35,32,216,232,200
"MS29",2.010399664,NA,1.576151259,8,NA,10,47,NA,75
"MS18",0.809185245,1.245249363,0.762909134,135,80,81,463,238,278
"MS25",0.771715995,0.702572585,1.524628334,21,4,4,148,36,25
"MS3",1.538926076,1.674773946,1.971534804,156,56,87,613,347,619
"MS30",0.633725323,0.458960665,0.594787211,137,27,28,358,184,176
"MS6",1.771822926,1.905599476,1.72306913,57,72,62,472,278,313
"MS21",NA,1.586359059,1.219789941,NA,287,247,NA,426,534
