"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS23",0.472599384,0.627747055,44,49,174,175
"MS14",4.832453213,2.917815978,60,54,175,170
"MS22",3.340009,3.456893089,62,55,104,100
"MS2",0.640883847,0.352777449,26,27,189,170
"MS4",14.10207525,7.817936651,31,15,34,22
"MS27",1.546152944,2.411198422,102,53,313,178
"MS13",1.390076576,1.912368859,88,56,246,190
"MS9",0.519989991,0.34560781,60,16,190,65
"MS10",1.01702668,0.935732381,16,32,71,143
"MS26",5.723142071,4.751083832,101,54,146,73
"MS20",3.379161155,5.106974871,134,142,170,170
"MS17",0.061851371,0.161894243,16,14,174,170
"MS12",0.725495944,0.803606113,58,73,188,232
"MS7",1.823382817,2.383326682,30,30,85,85
"MS21",5.210277195,5.419809143,91,69,170,170
"MS5",2.147840189,2.194481707,52,59,170,170
"MS28",0.069180264,0.0851492,6,25,14,85
"MS16",8.765975311,12.70333061,134,87,169,170
"MS15",0.623703322,0.531457039,18,37,99,100
"MS24",0.262596404,0.254996084,18,56,37,205
"MS11",0.913142952,0.659445739,47,49,152,152
"MS8",0.493162934,0.525273606,12,34,71,126
"MS1",0.585599844,0.618561516,55,71,304,300
"MS19",0.024246158,0.036916496,11,22,285,318
"MS29",3.67388122,4.400186906,101,103,175,212
"MS18",4.576963457,2.678471066,120,40,156,55
"MS25",1.576719869,1.375034878,125,107,170,169
"MS3",0.040305019,0.04230233,30,27,174,173
"MS30",4.498907372,0.874221796,23,6,85,85
"MS6",0.780543049,1.790468895,48,37,85,85
