"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.878759174,116,340
"MS14",2.151854014,220,260
"MS22",2.31177469,57,100
"MS2",0.032112399,34,208
"MS4",5.969925661,87,99
"MS27",0.754464752,83,195
"MS13",3.272773022,268,427
"MS9",0.084308679,33,172
"MS10",0.175807822,34,82
"MS26",3.050721291,119,170
"MS20",3.474235113,134,340
"MS17",0.027115212,6,170
"MS12",0.338531793,153,393
"MS7",3.353876148,46,85
"MS21",3.028195501,174,340
"MS5",2.776898633,88,170
"MS28",0.003988295,6,85
"MS16",3.991055322,190,340
"MS15",0.143841128,82,100
"MS24",0.027092452,0,2
"MS11",0.144040951,51,150
"MS8",0.171457778,0,3
"MS1",0.509123351,127,305
"MS19",0,6,367
"MS29",7.248468613,266,357
"MS18",2.76398723,200,298
"MS25",1.398409961,136,199
"MS3",0,29,216
"MS30",2.432522191,48,85
"MS6",0.578367475,72,84
