"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",9.196780344,8.203831283,8.404670192,8,12,7,185,180,180
"MS14",31.56780428,37.73284265,36.05527711,146,143,98,283,267,209
"MS4",54.10281519,66.20868409,72.07186212,12,2,7,35,16,16
"MS27",12.37660042,13.41445123,13.03767034,4,5,39,137,96,106
"MS13",34.32189804,32.07803872,22.32162906,21,14,24,43,32,47
"MS9",5.745861019,3.850286882,3.549889588,67,62,27,156,125,92
"MS26",11.12732882,13.52588443,9.690623047,0,1,12,24,20,30
"MS20",63.47301415,44.05012032,48.25499242,265,275,332,506,506,510
"MS12",7.038912796,4.880452264,5.260367075,176,141,86,522,465,356
"MS7",17.31643878,22.85122322,15.92940691,46,43,86,141,131,116
"MS21",49.95244293,56.63314514,58.10999096,143,136,137,370,370,420
"MS5",6.862591156,8.766225394,9.175229522,53,45,69,100,62,123
"MS16",51.6426749,53.67398334,104.7346794,161,252,178,367,581,475
"MS8",5.329138673,7.873740144,7.125621132,14,15,26,75,62,111
"MS29",57.34444145,56.8485017,75.43976464,58,97,108,135,250,278
"MS18",29.56033228,37.25464198,30.85831203,45,19,23,83,33,35
"MS25",9.25974502,12.98834746,11.31891796,30,37,85,170,170,274
"MS30",26.92374318,18.64907333,13.28597891,28,55,81,129,164,182
"MS6",6.900943733,5.388646439,12.22687307,15,16,19,61,35,47
"MS28",NA,0.500828678,0.338826013,NA,5,0,NA,20,10
"MS11",NA,4.550576779,5.210809896,NA,0,1,NA,10,52
"MS1",NA,8.765431788,6.468233562,NA,6,14,NA,23,63
"MS22",NA,NA,19.87736539,NA,NA,7,NA,NA,14
"MS10",NA,NA,4.275861328,NA,NA,4,NA,NA,11
"MS15",NA,NA,4.137261155,NA,NA,16,NA,NA,17
"MS24",NA,NA,3.134149243,NA,NA,5,NA,NA,37
