"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS14",3.071893421,3.629114703,55,28,103,45
"MS13",1.973947882,2.203858229,9,23,15,30
"MS9",0.33396017,0.301178355,58,32,125,92
"MS20",4.914178365,1.098256474,96,125,166,170
"MS12",0.722978989,0.453244155,87,26,204,95
"MS7",3.498604479,2.009094661,13,24,46,31
"MS21",2.751492489,6.696383759,13,23,30,80
"MS5",0.061373508,0.063267123,45,73,62,123
"MS28",6.036824704,4.724450007,1,1,10,3
"MS16",1.172775299,1.506600683,88,26,197,91
"MS8",0.215844478,0.332914695,1,7,10,59
"MS1",0.498533965,0.64342629,3,18,23,63
"MS29",0.036888638,0.031875484,7,21,20,48
"MS18",2.622049223,2.323875106,15,18,17,19
"MS23",NA,0.592258198,NA,5,NA,7
"MS22",NA,3.603571333,NA,5,NA,14
"MS4",NA,4.459250264,NA,1,NA,3
"MS10",NA,1.153228823,NA,4,NA,11
"MS15",NA,0.488450023,NA,15,NA,17
"MS24",NA,0.503897952,NA,4,NA,37
"MS11",NA,8.807630108,NA,2,NA,42
"MS25",NA,4.39213315,NA,42,NA,104
"MS30",NA,1.242669715,NA,15,NA,18
"MS6",NA,1.12284404,NA,8,NA,12
