"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",0.268419362,0.326111866,0.252416826,472,491,513,831,949,937
"MS14",0.072648536,0.083575462,0.057822192,488,574,519,870,1005,1009
"MS22",0.096279145,0.103295562,0.147210761,321,282,223,578,564,602
"MS4",0.352141006,0.362101439,NA,25,28,NA,290,292,NA
"MS27",0.624779378,0.503488245,0.321144939,245,215,270,636,620,602
"MS13",0.198549988,0.160688199,0.100781721,971,778,643,1857,1653,1536
"MS9",0.004222827,0.002676969,0.000764854,373,214,165,1473,944,873
"MS10",0.819567814,0.697346035,0.751962419,81,78,67,159,159,243
"MS26",0.098062235,0.142226728,0.289634003,214,227,160,531,465,386
"MS20",0.435438971,0.37986258,0.34004828,1044,1075,1143,1310,1497,1557
"MS17",0.000913537,0.000558707,0.000479496,33,7,36,577,597,616
"MS12",0.016547877,0.016663413,0.016436799,260,211,124,1099,1180,1268
"MS7",0.362897205,0.290452702,0.219329995,532,459,383,863,738,639
"MS21",0.324256795,0.661269456,0.380471861,560,452,478,894,894,900
"MS5",0.173018592,0.192820604,0.148374903,252,210,185,598,600,600
"MS28",0.001657241,0.000974394,0.001828315,25,12,3,290,283,301
"MS15",0.19240367,0.185742995,0.169802448,169,162,201,309,309,300
"MS11",0.539503234,0.415641427,0.471627312,183,154,127,352,302,302
"MS1",0.000613457,0.000479694,0.00103029,172,154,103,897,906,911
"MS19",0.000197007,0.000162685,0.000193679,124,128,92,1022,969,979
"MS29",0.53286719,0.339519514,0.426973097,391,294,255,928,921,915
"MS18",0.327251009,0.418425109,0.188141757,800,629,336,1054,988,649
"MS25",0.208038603,0.129173375,0.192563142,749,708,793,1078,1066,1224
"MS3",0.001528219,0.001630802,0.003188225,89,83,66,673,646,665
"MS30",0.209140205,0.279143452,0.160652097,215,217,208,300,303,306
"MS6",0.465897691,0.40822147,0.861549944,224,213,217,575,297,296
"MS24",NA,0.670676922,0.4119793,NA,19,95,NA,46,214
