"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",0.23474512,0.243603035,0.202799679,4,3,8,524,514,515
"MS14",0.080922987,0.069614281,0.071967634,25,17,4,493,607,603
"MS22",0.071622712,0.076562714,0.228203151,3,1,0,204,204,200
"MS4",0.507561365,0.384465187,0.348769142,3,4,7,135,133,121
"MS27",0.434822931,0.391690226,0.440422783,2,1,6,502,508,373
"MS13",0.287116346,0.173166446,0.171924408,25,29,4,876,890,820
"MS9",0.005960644,0.002311813,0.000688649,0,0,6,528,534,346
"MS10",0.756007017,0.647622202,0.541365327,2,2,4,156,153,225
"MS26",0.118040391,0.104515456,0.196086848,1,4,3,316,316,243
"MS20",0.286407807,0.219088843,0.254934103,13,12,8,680,680,680
"MS17",0.000684228,0.000378552,0.000406114,2,0,0,347,344,340
"MS12",0.015256661,0.013861515,0.014307462,11,8,2,776,734,806
"MS7",0.216861172,0.314526495,0.272030088,3,3,0,254,254,255
"MS21",0.537211811,0.376596801,0.475788879,9,13,16,510,510,510
"MS5",0.164669254,0.132051356,0.190294904,6,5,0,370,340,340
"MS28",0.001583148,0.001150212,0.001310748,0,0,1,92,99,170
"MS16",0.313652818,0.188167166,0.098885482,7,6,6,678,678,680
"MS15",0.301833701,0.269442798,0.144373646,23,3,4,192,199,200
"MS11",0.367687685,0.541089732,0.413939217,0,2,2,352,302,302
"MS8",0.177395207,0.32567436,0.513367618,9,11,15,156,74,129
"MS1",0.00080401,0.00055118,0.001076269,0,1,2,807,903,911
"MS19",0.000248373,0.000193525,0.000126883,0,0,0,1013,966,973
"MS29",0.326945249,0.362621727,0.337544277,13,8,10,540,532,569
"MS18",0.381374004,0.262678466,0.470122101,33,19,33,623,628,406
"MS25",0.139680648,0.17654363,0.141167571,11,11,30,358,369,497
"MS3",0.001506281,0.002101827,0.002874453,3,0,0,418,390,409
"MS30",0.179564539,0.162832208,0.231316907,1,3,2,170,170,170
"MS6",0.560560405,0.269153788,0.335514528,0,0,0,170,169,169
"MS24",NA,0.490741261,0.596286714,NA,0,0,NA,39,207
