"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS23",0.070056317,0.120396579,2,3,174,175
"MS14",0.004807449,0.003069276,1,0,175,170
"MS22",0.067876813,0.065735945,0,1,104,100
"MS2",0.024520804,0.017495686,0,0,189,170
"MS4",0.142768156,0.203682139,0,1,34,22
"MS27",0.272392562,0.188685619,5,2,313,178
"MS13",0.09090347,0.051644746,10,0,246,190
"MS9",0.001548524,1.80726e-05,0,2,190,65
"MS10",0.146834201,0.098094527,1,0,71,143
"MS26",0.156655823,0.347831158,1,0,146,73
"MS20",0.299974205,0.513479398,3,2,170,170
"MS17",0,0,0,0,174,170
"MS12",0.003311795,0.004416676,1,0,188,232
"MS7",0.161576555,0.149927283,0,0,85,85
"MS21",0.13865842,0.223809168,2,10,170,170
"MS5",0.045808611,0.071542783,4,0,170,170
"MS28",0,0,0,0,14,85
"MS16",0.373825306,0.079781183,0,0,169,170
"MS15",0.16271341,0.088300553,0,2,99,100
"MS24",0.226593346,0.133866496,0,0,37,205
"MS11",0.174416503,0.207027943,3,4,152,152
"MS8",0.127637668,0.120042513,1,0,71,126
"MS1",9.93969e-05,0.000884681,0,0,304,300
"MS19",0,0,0,0,285,318
"MS29",0.108660769,0.203353284,1,4,175,212
"MS18",0.19577159,0.150284966,11,4,156,55
"MS25",0.06451109,0.130217523,6,9,170,169
"MS3",0,0,0,2,174,173
"MS30",0.060816265,0.069502854,2,2,85,85
"MS6",0.150486539,0.293596953,0,0,85,85
