"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",0.244259778,0.250404091,0.219877347,0,0,4,185,180,180
"MS14",0.082571128,0.065613351,0.061483666,0,0,0,283,267,209
"MS4",0.411619521,0.270720227,0.454584647,0,0,0,35,16,16
"MS27",0.444317165,0.551000145,0.561292139,0,0,0,137,96,106
"MS13",0.269163052,0.135781094,0.143399988,0,0,0,43,32,47
"MS9",0.005661379,0.002209337,0.000677441,0,0,0,156,125,92
"MS26",0.107404891,0.137896207,0.181506372,0,0,0,24,20,30
"MS20",0.232853363,0.248525126,0.355029456,1,0,0,506,506,510
"MS12",0.015133865,0.016738994,0.023489111,0,0,0,522,465,356
"MS7",0.290460316,0.261007166,0.180326257,0,0,0,141,131,116
"MS21",0.465045634,0.605968157,0.61493567,1,0,19,370,370,420
"MS5",0.120747962,0.195517595,0.125240077,0,0,0,100,62,123
"MS16",0.252097768,0.182669993,0.104900904,38,28,25,367,581,475
"MS8",0.206430971,0.375382046,0.293810259,2,6,6,75,62,111
"MS29",0.440060978,0.622823346,0.342290411,0,1,0,135,250,278
"MS18",0.3297445,0.294350026,0.368499572,0,0,0,83,33,35
"MS25",0.194429653,0.148005212,0.159691358,1,0,9,170,170,274
"MS30",0.225584507,0.206186346,0.332142504,0,0,0,129,164,182
"MS6",0.495111856,0.422712387,0.571427381,0,0,0,61,35,47
"MS28",NA,0.001580927,0.001483132,NA,0,0,NA,20,10
"MS11",NA,0.341718633,0.375068655,NA,0,0,NA,10,52
"MS1",NA,0.000623264,0.001106662,NA,1,0,NA,23,63
"MS22",NA,NA,0.189839444,NA,NA,0,NA,NA,14
"MS10",NA,NA,0.55891906,NA,NA,0,NA,NA,11
"MS15",NA,NA,0.125435874,NA,NA,0,NA,NA,17
"MS24",NA,NA,0.374120548,NA,NA,0,NA,NA,37
