"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS14",0.006327948,0.003148227,0,0,103,45
"MS13",0.061737138,0.060888733,0,0,15,30
"MS9",0.001155504,1.38874e-05,0,0,125,92
"MS20",0.042913589,0.057311879,0,0,166,170
"MS12",0.002536714,0.003924084,0,0,204,95
"MS7",0.195721944,0.197356836,0,0,46,31
"MS21",0.149141652,0.409323282,0,5,30,80
"MS5",0,0,0,0,62,123
"MS28",0.123995562,0.092929491,0,0,10,3
"MS16",0.051557709,0.054335788,1,1,197,91
"MS8",0.159707848,0.099123458,0,0,10,59
"MS1",0.12277023,0.13044946,0,0,23,63
"MS29",0,0,0,0,20,48
"MS18",0.15263962,0.155174781,0,0,17,19
"MS23",NA,0.134154175,NA,0,NA,7
"MS22",NA,0.128320069,NA,0,NA,14
"MS4",NA,0.240613471,NA,0,NA,3
"MS10",NA,0.118472987,NA,0,NA,11
"MS15",NA,0.125233704,NA,0,NA,17
"MS24",NA,0.103010001,NA,0,NA,37
"MS11",NA,0.049751187,NA,0,NA,42
"MS25",NA,0.166793334,NA,5,NA,104
"MS30",NA,0.256020829,NA,0,NA,18
"MS6",NA,0.108573101,NA,0,NA,12
