"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",35.30551707,34.19522855,50.75623207,207,182,183,525,515,515
"MS14",123.344925,110.5316716,88.10188886,159,209,199,489,602,602
"MS22",96.88211874,162.4898395,115.3372767,30,18,21,200,200,200
"MS4",272.2655065,320.345537,341.9115981,10,5,14,124,122,122
"MS13",74.49045644,86.10254677,70.65730433,327,370,350,806,820,820
"MS9",31.30657605,40.07260711,24.58360816,187,188,170,340,346,346
"MS10",32.47434734,70.75748122,30.9093993,112,108,108,228,225,225
"MS26",83.57760726,105.2305715,95.03033521,24,28,41,243,243,243
"MS20",179.4726529,110.3289716,161.9994637,58,54,68,680,680,680
"MS17",19.89011829,15.08154454,9.96584729,262,274,271,343,340,340
"MS12",66.89708474,48.58709832,57.81665809,279,310,302,849,807,807
"MS7",53.33096369,67.86685872,72.19980766,78,83,87,255,255,255
"MS21",169.7512755,173.958427,213.4158361,125,116,113,510,510,510
"MS5",34.55112414,47.69134348,46.41890918,130,129,120,370,340,340
"MS28",3.576301876,3.147296083,3.898713731,98,100,110,163,170,170
"MS16",165.6785411,171.3119713,203.5940405,124,149,163,680,680,680
"MS15",20.83092331,24.40696386,20.27747888,58,45,48,193,200,200
"MS24",36.06591937,NA,NA,101,NA,NA,199,NA,NA
"MS11",30.12679641,28.22525548,27.04650051,129,120,132,352,302,302
"MS8",124.3750275,NA,NA,42,NA,NA,211,NA,NA
"MS1",77.97299774,42.48705523,50.19503355,415,413,443,815,911,911
"MS19",2.55816676,2.882897948,2.83038539,880,810,796,1020,973,973
"MS29",156.6502241,187.1163768,164.8637135,125,105,118,577,569,569
"MS18",193.5475721,128.6772258,144.0659354,42,44,55,401,406,406
"MS25",61.21566389,82.08557352,48.08828383,65,50,48,486,497,497
"MS3",15.74144972,8.514446568,8.875528834,393,372,359,437,409,409
"MS30",40.43186306,26.17639053,35.01111644,29,54,50,170,170,170
"MS6",39.81764443,28.36286812,66.27008456,36,26,29,170,169,169
