"ReportingCountry","PCU_ANIMALS_2021","NS_a_2021","Tested_a_2021"
"MS23",1.034168884,11,191
"MS14",0.905741967,11,165
"MS22",1.868011518,8,20
"MS2",0.249753823,0,191
"MS4",4.358963283,14,24
"MS13",1.896365961,23,258
"MS9",0.741903675,1,121
"MS10",1.052720055,4,140
"MS26",1.794472696,12,37
"MS20",1.860822853,62,170
"MS17",0.254425844,2,170
"MS12",1.321944988,37,203
"MS7",0.815067345,10,85
"MS21",2.089721811,8,170
"MS5",1.051223853,16,170
"MS28",0,0,145
"MS16",2.135508397,90,197
"MS15",0.816646236,2,85
"MS24",0.269298606,13,203
"MS11",1.089617116,3,115
"MS8",1.135353471,0,34
"MS1",0.850333582,13,287
"MS19",0.0052864,0,288
"MS29",2.138192673,14,180
"MS18",3.510645609,23,30
"MS25",1.844007403,36,146
"MS3",0.076504845,0,174
"MS30",0.920973775,3,85
"MS6",0.259714434,0,62
