"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.029962752,0,254
"MS14",0.137680045,0,92
"MS22",0.304603689,0,85
"MS2",7.9554e-05,0,179
"MS4",0.181524635,9,74
"MS27",0.014299981,3,174
"MS13",0.136066974,0,406
"MS9",0.129153803,0,163
"MS10",0.005422312,0,10
"MS26",0.447848774,0,98
"MS20",0.21022615,0,246
"MS17",0.00170049,0,87
"MS12",0.09870434,0,334
"MS7",0.038516739,0,85
"MS21",0.264960105,0,340
"MS5",0.041824754,0,165
"MS16",0.152178383,4,346
"MS15",0.04215616,1,84
"MS24",0.004856711,0,2
"MS11",0.354252234,0,47
"MS8",0.36316019,0,2
"MS1",0.198023754,0,167
"MS19",0,0,88
"MS29",0.328997484,0,359
"MS18",0.312637032,11,147
"MS25",0.396220285,7,328
"MS3",0.005009731,0,183
"MS30",0,0,85
"MS6",0.014134085,0,85
