"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",1.370444287,1.981825641,1.100093022,0,0,0,524,514,515
"MS14",1.358178813,2.007359706,1.579270188,0,0,0,493,607,603
"MS22",1.597747618,3.779669474,5.555566999,1,3,3,204,204,200
"MS4",12.67008968,7.874187696,13.62740704,0,2,1,135,133,121
"MS27",0.889637555,0.775115316,0.523702683,0,0,1,502,508,373
"MS13",11.25729372,9.669935969,6.427522798,16,23,11,876,890,820
"MS9",0.001221363,0.000322072,2.02654e-05,0,0,0,528,534,346
"MS10",0.774087859,0.285117012,0.199542149,0,0,0,156,153,225
"MS26",1.812415616,2.10580488,1.669650499,5,10,2,316,316,243
"MS20",1.274955809,0.48823962,0.404132014,2,3,0,680,680,680
"MS17",0,0,0,0,0,0,347,344,340
"MS12",1.720060153,1.9960694,1.244360427,13,5,3,776,734,806
"MS7",1.895136697,1.95304752,3.554157623,0,0,0,254,254,255
"MS21",8.664587128,7.591932736,11.36336825,2,5,0,510,510,510
"MS5",0.012543665,0.00772286,0.004124521,0,0,0,370,340,340
"MS28",0,0,0,0,0,0,92,99,170
"MS16",1.432497278,0.902755709,0.615021234,1,3,0,678,678,680
"MS15",0.351739552,0.279688242,0.000340961,0,0,1,192,199,200
"MS11",0.905946813,0.39611642,0.318077477,0,0,2,352,302,302
"MS8",0.880321023,0.37549341,0.517074189,0,0,0,156,74,129
"MS1",0.362588769,0.489539907,0.474993054,0,0,0,807,903,911
"MS19",0,0,0,0,0,0,1013,966,973
"MS29",7.302111445,8.577918799,9.494683346,1,16,6,540,532,569
"MS18",14.05790313,8.940621388,8.995506218,40,27,7,623,628,406
"MS25",4.135939442,2.948788806,2.590679227,7,9,14,358,369,497
"MS3",0.045277586,0.021833399,0.005445754,0,0,0,418,390,409
"MS30",0.188640495,0.091315096,0.063588285,0,0,0,170,170,170
"MS6",1.319746933,1.315243496,1.480209253,0,0,0,170,169,169
"MS24",NA,0.420811975,0.297055605,NA,0,0,NA,39,207
