"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS23",0.596285428,0.299713394,0,0,174,175
"MS14",0.343522351,0.269587655,0,0,175,170
"MS22",0.932834104,1.764708358,0,0,104,100
"MS2",0.214098021,0.095000521,0,0,189,170
"MS4",6.171835777,6.199756308,0,0,34,22
"MS27",0.109801852,0.228028773,0,2,313,178
"MS13",1.238006248,1.478463312,0,0,246,190
"MS9",0.000239731,0,0,0,190,65
"MS10",0.127906947,0.042042837,0,0,71,143
"MS26",1.175454766,1.520635754,4,0,146,73
"MS20",0.242351345,0.096786292,1,0,170,170
"MS17",0,0,0,0,174,170
"MS12",0.489866883,0.30513718,3,0,188,232
"MS7",0.405755506,0.92639366,0,0,85,85
"MS21",3.459655501,3.847913949,2,0,170,170
"MS5",0.002524829,0,0,0,170,170
"MS28",0,0,0,0,14,85
"MS16",0.237699446,0.106654703,1,0,169,170
"MS15",0.133061591,0.000391685,0,2,99,100
"MS24",0.08980217,0.074896492,0,0,37,205
"MS11",0.115467387,0.154375734,0,4,152,152
"MS8",0,0.090868562,0,0,71,126
"MS1",0.06798043,0.080624442,0,0,304,300
"MS19",0,0,0,0,285,318
"MS29",2.863450601,2.036203779,0,0,175,212
"MS18",2.846588749,2.215230921,8,1,156,55
"MS25",0.728982987,0.832488477,0,0,170,169
"MS3",0.022876414,0,0,0,174,173
"MS30",0.025962597,0.007524869,0,0,85,85
"MS6",0.484657494,0.282128902,0,0,85,85
