"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",1.760314547,1.464878532,1.669652544,4,0,0,185,180,180
"MS14",1.884740078,1.979321366,2.231735046,17,15,1,283,267,209
"MS4",9.683208962,10.31972452,12.89808725,1,2,1,35,16,16
"MS27",0.745772427,0.760033545,0.455091208,13,15,5,137,96,106
"MS13",4.633271957,4.873377916,6.514843958,2,1,2,43,32,47
"MS9",0.001325741,0.000276975,0,0,0,1,156,125,92
"MS26",2.020918403,1.51085714,2.097922087,0,3,3,24,20,30
"MS20",2.067606803,0.669347587,0.448335877,7,6,2,506,506,510
"MS12",1.562090829,1.6626782,1.690573873,19,9,1,522,465,356
"MS7",2.556434709,1.321620672,2.644821412,0,0,0,141,131,116
"MS21",9.401491085,10.31560658,9.11929163,1,1,13,370,370,420
"MS5",0.018772158,0.008081086,0.004820276,1,1,3,100,62,123
"MS16",1.396178279,0.790376217,0.504391525,0,7,5,367,581,475
"MS8",0.763874195,0.204718273,0.56578727,0,0,0,75,62,111
"MS29",7.248671183,11.20941767,10.05037301,1,4,16,135,250,278
"MS18",7.556213063,9.440521177,9.490838624,5,4,0,83,33,35
"MS25",5.670625504,1.738161332,1.667584859,0,7,4,170,170,274
"MS30",0.191135975,0.132258208,0.064977943,0,1,0,129,164,182
"MS6",1.533279432,1.64576485,2.253605506,0,0,0,61,35,47
"MS28",NA,0,0,NA,0,0,NA,20,10
"MS11",NA,0.285657098,0.288536283,NA,0,1,NA,10,52
"MS1",NA,0.364032597,0.394295711,NA,3,0,NA,23,63
"MS22",NA,NA,4.301031825,NA,NA,1,NA,NA,14
"MS10",NA,NA,0.195174426,NA,NA,0,NA,NA,11
"MS15",NA,NA,0.000210529,NA,NA,1,NA,NA,17
"MS24",NA,NA,0.311992312,NA,NA,0,NA,NA,37
