"ReportingCountry","PCU_ANIMALS_2021","NS_a_2021","Tested_a_2021"
"MS23",0.290355874,112,191
"MS14",0.024431272,74,165
"MS22",0.239303548,12,20
"MS2",0.069765526,95,191
"MS4",0.574850587,11,24
"MS13",0.149421188,146,258
"MS9",0.000549877,26,121
"MS10",0.270297251,47,140
"MS26",0.449880123,24,37
"MS20",2.052020594,161,170
"MS17",0.054518635,59,170
"MS12",0.019740788,82,203
"MS7",0.793931138,53,85
"MS21",0.846590835,100,170
"MS5",0.138380084,59,170
"MS28",0.002378176,100,145
"MS16",0.526357623,161,197
"MS15",0.104871811,56,85
"MS24",0.222477203,124,203
"MS11",0.22217103,57,115
"MS8",1.175382467,20,34
"MS1",0.00351746,55,287
"MS19",0.004787679,61,288
"MS29",0.876104749,122,180
"MS18",0.602167357,21,30
"MS25",2.400111798,106,146
"MS3",0.006794542,49,174
"MS30",0.575345509,67,85
"MS6",0.353496332,47,62
