"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.090626606,212,254
"MS14",0.221918028,56,92
"MS22",2.438036891,60,85
"MS2",0.07635026,94,179
"MS4",1.696871729,65,74
"MS27",0.591416817,138,174
"MS13",0.543073551,327,406
"MS9",0,67,163
"MS10",0.016679198,9,10
"MS26",3.387314177,91,98
"MS20",1.070767249,211,246
"MS17",0,5,87
"MS12",0.088096351,218,334
"MS7",0.482660564,73,85
"MS21",5.777469012,305,340
"MS5",0.102310209,48,165
"MS16",0.420273166,298,346
"MS15",0.824050145,75,84
"MS24",4.646276944,2,2
"MS11",0.20848142,47,47
"MS8",1.639770679,0,2
"MS1",0.155309333,118,167
"MS19",0,5,88
"MS29",2.639982982,342,359
"MS18",3.307730944,137,147
"MS25",1.893554004,280,328
"MS3",0,37,183
"MS30",0.068303925,66,85
"MS6",1.01522035,74,85
