"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",0.327628204,0.568500201,0.559264168,47,50,69,524,514,515
"MS14",0.430143205,0.675919623,0.58877953,107,115,78,493,607,603
"MS22",5.792645289,4.878786275,3.396136822,85,72,93,204,204,200
"MS4",3.107494582,2.405863074,1.367842965,31,30,40,135,133,121
"MS27",1.6982013,1.463925765,0.902965478,161,138,120,502,508,373
"MS13",0.77900519,0.889832841,0.357366714,162,159,98,876,890,820
"MS9",0.239911893,0.214522315,0.111924345,19,26,5,528,534,346
"MS10",1.399016414,0.787273259,0.563551273,17,16,12,156,153,225
"MS26",5.995250669,3.945125002,3.965023872,177,156,110,316,316,243
"MS20",4.514175898,2.961149947,3.125575225,320,346,331,680,680,680
"MS17",0.075376966,0.13935894,0.113484015,16,5,10,347,344,340
"MS12",0.53230831,0.37384962,0.292229129,117,86,92,776,734,806
"MS7",2.89856926,2.866358612,1.818036639,89,60,69,254,254,255
"MS21",10.72500087,11.22169148,15.34592837,198,199,208,510,510,510
"MS5",0.370896578,0.392703599,0.573413529,53,21,11,370,340,340
"MS28",0.003486925,0.004507388,0.003735288,1,3,3,92,99,170
"MS16",3.160153675,3.017654912,2.800957067,288,246,218,678,678,680
"MS15",1.505290136,1.384155097,1.451484447,78,84,94,192,199,200
"MS11",0.662841126,0.814332951,0.598826535,110,85,78,352,302,302
"MS8",3.730794893,5.393312495,6.666530659,57,21,24,156,74,129
"MS1",0.796988245,0.785197153,0.642553361,17,67,70,807,903,911
"MS19",0.0355202,0.025832653,0.039190408,41,39,55,1013,966,973
"MS29",9.530318643,13.13808316,13.65699669,280,259,282,540,532,569
"MS18",4.357315922,10.29610831,10.59601418,305,251,151,623,628,406
"MS25",6.425670137,5.797209497,3.638145966,205,227,287,358,369,497
"MS3",0.073432704,0.098091184,0.127284869,12,21,21,418,390,409
"MS30",2.310314533,1.639689719,1.675439112,104,67,79,170,170,170
"MS6",3.433775117,2.926250215,2.867510924,81,87,80,170,169,169
"MS24",NA,0.75908732,0.922194058,NA,9,9,NA,39,207
