"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS23",0.178699979,0.223271689,4,12,174,175
"MS14",0.02658835,0.020804128,20,1,175,170
"MS22",0.248490646,0.310818287,11,21,104,100
"MS2",0.07157024,0.0566557,4,5,189,170
"MS4",0.251912731,0.359772461,2,2,34,22
"MS27",0.661216087,0.972077805,13,8,313,178
"MS13",0.1358041,0.166379164,21,5,246,190
"MS9",0.000527504,0.000396688,2,0,190,65
"MS10",0.353765387,0.416111127,4,5,71,143
"MS26",0.410840621,0.68235421,33,7,146,73
"MS20",0.993671525,1.188884798,78,85,170,170
"MS17",0.038360583,0.065028003,4,0,174,170
"MS12",0.019840874,0.029575279,8,8,188,232
"MS7",0.419121985,1.112751542,8,10,85,85
"MS21",0.738823127,0.566674554,25,19,170,170
"MS5",0.158961834,0.14094429,7,4,170,170
"MS28",0.001682595,0.003292383,0,0,14,85
"MS16",0.593976423,0.459549771,36,30,169,170
"MS15",0.099299624,0.120145122,21,8,99,100
"MS24",0.342778179,0.243240463,4,9,37,205
"MS11",0.320075529,0.194276665,19,13,152,152
"MS8",0.913930611,1.010584269,14,9,71,126
"MS1",0.020196388,0.005500207,0,11,304,300
"MS19",0.008189756,0.003945046,0,3,285,318
"MS29",1.034420525,0.96142204,33,41,175,212
"MS18",0.416022857,0.484875461,45,6,156,55
"MS25",1.967748594,1.856823078,84,54,170,169
"MS3",0.006276916,0.004955153,1,5,174,173
"MS30",0.314944879,0.314703141,10,7,85,85
"MS6",0.252630963,0.37524484,10,6,85,85
