"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.118844591,152,340
"MS14",0.146901479,133,260
"MS22",2.377247182,83,100
"MS2",0.085717737,70,208
"MS4",1.017546226,87,99
"MS27",0.495038741,137,195
"MS13",0.270595931,245,427
"MS9",0,30,172
"MS10",0.017999571,45,82
"MS26",2.004838798,124,170
"MS20",1.486646839,210,340
"MS17",0,9,170
"MS12",0.032468043,108,393
"MS7",0.455493986,58,85
"MS21",6.343336524,287,340
"MS5",0.133881884,30,170
"MS28",0,5,85
"MS16",0.56165788,171,340
"MS15",0.924504741,95,100
"MS24",3.610073339,0,2
"MS11",0.178991808,87,150
"MS8",2.658755716,1,3
"MS1",0.158593282,103,305
"MS19",0,57,367
"MS29",3.678430198,288,357
"MS18",3.339840238,232,298
"MS25",1.092891691,177,199
"MS3",0,24,216
"MS30",0.044151221,53,85
"MS6",0.960047635,79,84
