"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",0.336479207,0.474866946,0.375815135,118,111,118,185,180,180
"MS14",0.620348243,0.689537252,0.364066248,32,28,22,283,267,209
"MS4",2.468266796,2.108568545,2.461672456,32,9,4,35,16,16
"MS27",1.807731799,1.50975868,1.354939822,38,31,12,137,96,106
"MS13",0.874677727,0.817170163,0.693041641,5,3,5,43,32,47
"MS9",0.437692974,0.161072086,0.191046708,0,0,0,156,125,92
"MS26",4.505065335,4.133224974,2.984209787,18,10,21,24,20,30
"MS20",4.161397644,5.467352541,3.350810951,163,187,199,506,506,510
"MS12",0.648339425,0.474377608,0.324002837,8,8,7,522,465,356
"MS7",2.132543793,2.837220941,3.24211444,49,41,29,141,131,116
"MS21",9.189613172,9.263344539,10.94204325,166,160,170,370,370,420
"MS5",0.382781263,0.400508138,0.470345161,1,1,1,100,62,123
"MS16",3.152467044,3.277026632,1.653780503,125,217,161,367,581,475
"MS8",8.205171042,8.980437075,10.77442399,16,12,20,75,62,111
"MS29",20.09980269,12.92998557,16.97918848,60,112,133,135,250,278
"MS18",8.469409938,6.734569246,8.174423795,4,0,7,83,33,35
"MS25",4.101238569,4.532844554,7.419474001,123,106,121,170,170,274
"MS30",2.351760892,1.081470941,1.008485591,114,127,106,129,164,182
"MS6",2.833601137,3.432248591,3.371276732,51,18,19,61,35,47
"MS28",NA,0.00418795,0.003901461,NA,0,0,NA,20,10
"MS11",NA,0.523022782,0.451819286,NA,0,0,NA,10,52
"MS1",NA,0.85111581,0.598643907,NA,1,0,NA,23,63
"MS22",NA,NA,3.058908768,NA,NA,3,NA,NA,14
"MS10",NA,NA,1.384197746,NA,NA,0,NA,NA,11
"MS15",NA,NA,1.251686918,NA,NA,3,NA,NA,17
"MS24",NA,NA,0.629495737,NA,NA,0,NA,NA,37
