"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS14",0.026444496,0.015394042,6,0,103,45
"MS13",0.135163299,0.136007711,0,2,15,30
"MS9",0.000626116,0.000425149,0,0,125,92
"MS20",0.443483131,0.310081539,50,48,166,170
"MS12",0.032271236,0.023367926,2,0,204,95
"MS7",0.667926738,0.846460042,6,6,46,31
"MS21",0.343570495,0.506283214,5,2,30,80
"MS5",0.00143742,0.003050326,2,4,62,123
"MS28",0.850833835,0.893071206,0,0,10,3
"MS16",0.148493837,0.194918026,11,5,197,91
"MS8",0.320573172,0.298170041,2,0,10,59
"MS1",0.732167054,0.757947956,2,0,23,63
"MS29",0.004521123,0.0040465,1,7,20,48
"MS18",1.471728349,0.772931736,0,2,17,19
"MS23",NA,0.190804839,NA,0,NA,7
"MS22",NA,0.238805363,NA,3,NA,14
"MS4",NA,0.535962044,NA,2,NA,3
"MS10",NA,0.351548904,NA,0,NA,11
"MS15",NA,0.191010804,NA,0,NA,17
"MS24",NA,0.094960257,NA,0,NA,37
"MS11",NA,0.31947369,NA,0,NA,42
"MS25",NA,0.486716113,NA,25,NA,104
"MS30",NA,0.497798103,NA,3,NA,18
"MS6",NA,1.644667697,NA,2,NA,12
