"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.141886822,116,180
"MS14",0.168282948,53,167
"MS4",0.992794338,6,18
"MS27",0.42893224,35,93
"MS13",0.429938752,11,21
"MS26",2.213841309,15,20
"MS20",1.281730428,190,340
"MS12",0.040038702,14,261
"MS7",0.796005193,61,94
"MS21",4.146168555,312,340
"MS16",0.382475662,279,384
"MS8",2.176528637,18,52
"MS29",3.561481105,193,230
"MS18",3.111904073,0,18
"MS25",2.259006031,114,171
"MS30",0.047411839,126,166
"MS6",0.932871353,23,37
