"ReportingCountry","PCU_ANIMALS_2021","NS_a_2021","Tested_a_2021"
"MS23",1.438862279,170,191
"MS14",2.947103646,137,165
"MS22",7.183075712,17,20
"MS2",0.408030479,132,191
"MS4",13.55116978,20,24
"MS13",1.257166345,183,258
"MS9",0.586868535,25,121
"MS10",1.840828415,110,140
"MS26",4.088229545,36,37
"MS20",3.337602317,158,170
"MS17",0.444833218,0,170
"MS12",1.396650688,171,203
"MS7",3.303659575,55,85
"MS21",5.868349611,104,170
"MS5",1.019476305,101,170
"MS28",0.084132982,0,145
"MS16",6.603654467,176,197
"MS15",0.319975186,72,85
"MS24",0.609183461,179,203
"MS11",0.628033622,81,115
"MS8",3.51128405,18,34
"MS1",1.703184537,228,287
"MS19",0.008557483,0,288
"MS29",5.19932472,131,180
"MS18",6.204219235,30,30
"MS25",2.13283107,120,146
"MS3",0.176706533,0,174
"MS30",1.047034364,39,85
"MS6",1.544214327,57,62
