"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.684570084,105,254
"MS14",0.643090387,50,92
"MS22",3.780930516,41,85
"MS2",0,60,179
"MS4",6.939619814,39,74
"MS27",0.490021763,66,174
"MS13",1.106995748,265,406
"MS9",0.166983763,56,163
"MS10",0.103545637,2,10
"MS26",3.558766367,57,98
"MS20",2.595851487,175,246
"MS17",0.152885222,2,87
"MS12",0.506690298,201,334
"MS7",1.810519401,33,85
"MS21",2.961215276,192,340
"MS5",0.054246766,66,165
"MS16",1.741466104,249,346
"MS15",0.033627738,59,84
"MS24",0.012517084,2,2
"MS11",0.445423697,11,47
"MS8",1.201936033,0,2
"MS1",0.231904237,96,167
"MS19",0.004956204,1,88
"MS29",4.636378804,267,359
"MS18",2.101372252,130,147
"MS25",1.107362531,189,328
"MS3",0.054330778,8,183
"MS30",0.698140797,39,85
"MS6",0.450149341,43,85
