"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",26.95591144,23.67577345,22.91180467,194,208,231,524,514,515
"MS14",19.95418757,21.29740223,18.60262028,206,265,263,493,607,603
"MS22",43.98970277,70.74129051,39.20207392,147,132,125,204,204,200
"MS4",94.65994576,102.9025467,139.9379361,112,116,97,135,133,121
"MS27",19.67582691,12.67264464,18.34448444,150,164,115,502,508,373
"MS13",20.88551499,15.93730603,17.58815075,299,328,259,876,890,820
"MS9",5.494559374,6.550986767,4.022685721,173,164,105,528,534,346
"MS10",11.55121994,11.54772839,10.5633513,44,48,66,156,153,225
"MS26",45.29155285,43.46250165,44.8215462,219,223,160,316,316,243
"MS20",40.42006126,33.15532277,32.6632748,484,476,462,680,680,680
"MS17",6.340984802,5.675762385,3.501667021,36,47,36,347,344,340
"MS12",20.25409125,25.93967829,18.98417113,413,367,361,776,734,806
"MS7",28.09127948,17.26810778,16.04197372,113,107,113,254,254,255
"MS21",49.93374935,34.03209607,55.51622345,253,266,250,510,510,510
"MS5",19.86649832,22.53707204,27.50449986,190,167,166,370,340,340
"MS28",0.337260209,0.310738193,0.314095845,21,13,53,92,99,170
"MS16",67.40612805,63.48391114,28.41049989,471,436,411,678,678,680
"MS15",3.108252724,2.042263975,2.252094176,94,75,85,192,199,200
"MS11",8.030709803,11.65490456,8.244556517,82,90,84,352,302,302
"MS8",30.59678955,59.79944437,46.50204055,98,37,74,156,74,129
"MS1",16.95295809,16.78575288,16.10978713,359,344,283,807,903,911
"MS19",0.074612896,0.046157077,0.037445303,26,20,46,1013,966,973
"MS29",47.58827549,44.27350254,32.57727663,333,308,278,540,532,569
"MS18",58.91205634,61.04980806,48.64578003,484,480,262,623,628,406
"MS25",14.70812136,12.51662246,15.59965853,210,208,310,358,369,497
"MS3",0.912020942,0.741114725,0.820552699,54,41,59,418,390,409
"MS30",5.037629733,4.732181729,8.554542068,55,59,51,170,170,170
"MS6",7.173915749,12.10003777,10.48433428,107,118,93,170,169,169
"MS24",NA,21.88984571,7.198710692,NA,17,88,NA,39,207
