"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS23",1.615087748,1.608917908,67,87,174,175
"MS14",2.989763886,3.543391843,53,74,175,170
"MS22",4.199780448,6.680911185,76,63,104,100
"MS2",0.423845549,0.644621086,43,47,189,170
"MS4",10.36764241,11.43733218,32,19,34,22
"MS27",1.563056041,1.246799115,107,66,313,178
"MS13",2.805667122,1.346092949,94,57,246,190
"MS9",0.463341291,0.829167771,66,23,190,65
"MS10",3.649793073,2.418117054,21,49,71,143
"MS26",12.64627065,5.847788158,111,60,146,73
"MS20",3.731651911,4.632220476,130,138,170,170
"MS17",0.407864495,0.263093057,22,28,174,170
"MS12",1.536799221,1.116932299,94,99,188,232
"MS7",4.68852422,2.800393694,42,51,85,85
"MS21",6.914362936,4.229286481,91,76,170,170
"MS5",0.768958126,1.240987196,99,86,170,170
"MS28",0.070095063,0.061821241,6,31,14,85
"MS16",7.070313898,4.393481215,113,115,169,170
"MS15",0.177395626,0.284446809,38,48,99,100
"MS24",2.144515366,0.702235946,13,72,37,205
"MS11",1.390445298,1.145082441,49,37,152,152
"MS8",4.136772652,3.899660628,52,78,71,126
"MS1",1.267003713,1.707927661,129,87,304,300
"MS19",0.015383626,0.00659049,14,14,285,318
"MS29",4.708749433,3.423547137,115,90,175,212
"MS18",5.636260893,4.791779247,140,43,156,55
"MS25",2.344773036,2.133606042,102,110,170,169
"MS3",0.119519477,0.217705846,24,33,174,173
"MS30",1.001757911,1.24670202,30,21,85,85
"MS6",1.543880223,1.117791734,58,33,85,85
