"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.692774132,99,340
"MS14",0.756928902,155,260
"MS22",5.182983914,56,100
"MS2",0,20,208
"MS4",8.190576609,72,99
"MS27",0.749059753,42,195
"MS13",0.95602714,125,427
"MS9",0.165885797,17,172
"MS10",0.127865117,11,82
"MS26",5.400721012,109,170
"MS20",2.986474011,121,340
"MS17",0.110635307,13,170
"MS12",0.347583705,177,393
"MS7",3.499426414,40,85
"MS21",1.153720696,156,340
"MS5",0.034772966,54,170
"MS28",0,2,85
"MS16",1.979171229,147,340
"MS15",0.039345016,56,100
"MS24",0.016556758,0,2
"MS11",0.509030767,31,150
"MS8",0.916769624,3,3
"MS1",0.244021253,86,305
"MS19",0.005451141,16,367
"MS29",2.939962303,206,357
"MS18",2.441600428,159,298
"MS25",0.949913733,122,199
"MS3",0.031629075,16,216
"MS30",0.758914914,38,85
"MS6",0.475974564,41,84
