"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",19.2950656,19.84246642,27.82006524,127,112,124,185,180,180
"MS14",36.66427531,28.0219952,17.87624184,116,114,56,283,267,209
"MS4",120.7652279,145.8735809,120.4134729,30,16,16,35,16,16
"MS27",18.21646364,19.49263983,9.867558085,11,6,19,137,96,106
"MS13",17.84392654,15.49542364,13.95835754,9,11,24,43,32,47
"MS9",7.653419448,5.824673763,6.320603645,78,62,41,156,125,92
"MS26",42.95979193,49.89783132,40.43705772,5,6,7,24,20,30
"MS20",33.47790475,32.68367469,37.15002382,299,332,321,506,506,510
"MS12",14.38724742,36.83674874,13.99777789,203,189,135,522,465,356
"MS7",27.82641433,23.09722372,12.5399274,47,52,68,141,131,116
"MS21",66.1814883,54.1238012,57.19661921,194,200,181,370,370,420
"MS5",17.64372922,16.76474899,17.7501324,34,31,68,100,62,123
"MS16",70.77842544,50.3784216,41.04647586,206,306,225,367,581,475
"MS8",33.12470436,37.88306432,38.8574762,12,12,28,75,62,111
"MS29",49.74919689,57.01145634,45.185101,67,102,141,135,250,278
"MS18",57.30231665,45.17347972,48.49568772,42,21,19,83,33,35
"MS25",13.57083562,20.63946117,11.71509883,65,59,98,170,170,274
"MS30",5.334895505,9.803135058,7.220784546,118,111,123,129,164,182
"MS6",14.84187851,14.47170119,16.49336419,27,28,22,61,35,47
"MS28",NA,0.288025,0.306274735,NA,6,2,NA,20,10
"MS11",NA,6.507738743,4.05474269,NA,0,0,NA,10,52
"MS1",NA,12.56833878,19.31532708,NA,5,8,NA,23,63
"MS22",NA,NA,49.92756644,NA,NA,5,NA,NA,14
"MS10",NA,NA,15.64236591,NA,NA,7,NA,NA,11
"MS15",NA,NA,3.199951788,NA,NA,2,NA,NA,17
"MS24",NA,NA,8.017768659,NA,NA,3,NA,NA,37
