"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS14",2.5745699,3.539014148,49,15,103,45
"MS13",1.532756725,1.637196423,2,18,15,30
"MS9",0.536652945,0.480015765,50,37,125,92
"MS20",0.909474563,1.58591012,111,124,166,170
"MS12",1.139634258,0.842599067,126,52,204,95
"MS7",3.404369252,3.350436032,26,22,46,31
"MS21",9.88634463,10.65640172,10,27,30,80
"MS5",0.070673101,0.079608354,38,68,62,123
"MS28",6.814368385,4.103570593,4,0,10,3
"MS16",1.10040866,0.719049538,100,41,197,91
"MS8",1.898042476,0.421415982,1,17,10,59
"MS1",4.199521657,2.560555526,10,14,23,63
"MS29",0.015863656,0.008151857,12,20,20,48
"MS18",5.658203167,6.423599899,13,12,17,19
"MS23",NA,1.845824247,NA,5,NA,7
"MS22",NA,7.042116146,NA,7,NA,14
"MS4",NA,9.678904886,NA,0,NA,3
"MS10",NA,1.732657674,NA,5,NA,11
"MS15",NA,0.916638526,NA,4,NA,17
"MS24",NA,0.300081504,NA,5,NA,37
"MS11",NA,8.285930796,NA,1,NA,42
"MS25",NA,4.445023796,NA,30,NA,104
"MS30",NA,2.165519308,NA,4,NA,18
"MS6",NA,1.724318683,NA,6,NA,12
