"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.364705882352941,2280,4798
"MS14",0.836363636363636,2221,4009
"MS22",0.61,174,261
"MS7",0.4,469,827
"MS4",0.818181818181818,79,114
"MS27",0.4,1548,2997
"MS9",0.197674418604651,2625,5864
"MS10",0.378048780487805,185,422
"MS17",0.0352941176470588,1033,2928
"MS12",0.414414414414414,9506,17674
"MS13",0.621495327102804,17103,28227
"MS26",0.752941176470588,250,452
"MS21",0.547058823529412,1096,1804
"MS28",0.164705882352941,137,245
"MS5",0.405882352941176,1823,2841
"MS16",0.547058823529412,2775,4214
"MS11",0.473333333333333,189,374
"MS15",0.86,651,1138
"MS24",0,232,427
"MS8",0.333333333333333,163,277
"MS1",0.429508196721311,3258,7494
"MS19",0.0121457489878543,1474,3758
"MS29",0.754285714285714,278,502
"MS18",0.673076923076923,3181,5849
"MS25",0.601190476190476,187,316
"MS6",0.821428571428571,395,728
"MS30",0.6,840,1617
"MS20",0.305882352941176,4161,7214
