"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS14",0.450867052023121,0.697674418604651,2357,2004,4389,3601
"MS7",0.129411764705882,0.0833333333333333,397,646,728,1108
"MS9",0.073394495412844,0.0581395348837209,2502,2564,6001,5593
"MS12",0.464088397790055,0.418300653594771,9237,7331,17706,13415
"MS13",0.413793103448276,0.350230414746544,13724,16607,28500,23324
"MS16",0.570588235294118,0.662721893491124,3259,2970,5518,4457
"MS1",0.248366013071895,0.200680272108844,2807,3496,6571,7301
"MS19",0.0173611111111111,0.0254777070063694,1316,1663,3837,4072
"MS18",0.0943396226415094,0.109195402298851,2813,3477,5164,5933
"MS25",0.116279069767442,NA,220,NA,352,NA
"MS20",0.164705882352941,0.205882352941176,3921,4949,6969,7831
