"ReportingCountry","PR_a_2019","PR_a_2021","NS_2019","NS_2021","Tested_2019","Tested_2021"
"MS23",0.21264367816092,0.165714285714286,2819,2129,6042,4805
"MS14",0.468571428571429,0.305882352941176,2064,2417,3601,4389
"MS22",0.605769230769231,0.57,223,167,352,263
"MS7",0.376470588235294,0.258823529411765,621,406,1108,728
"MS4",0.764705882352941,0.681818181818182,64,141,92,191
"MS27",0.309904153354633,0.331460674157303,1889,1524,3556,2934
"MS9",0.3,0.261538461538462,2566,2497,5593,6001
"MS10",0.197183098591549,0.328671328671329,193,134,499,338
"MS17",0.109195402298851,0.0882352941176471,1059,1004,3000,3177
"MS12",0.234042553191489,0.228448275862069,7347,9285,13415,17706
"MS13",0.304878048780488,0.273684210526316,16650,13599,23324,28500
"MS26",0.63013698630137,0.547945205479452,87,334,154,557
"MS21",0.464705882352941,0.423529411764706,1404,1309,2363,2263
"MS28",0.357142857142857,0.235294117647059,128,132,257,277
"MS5",0.4,0.211764705882353,2214,1880,3201,2898
"MS16",0.692307692307692,0.641176470588235,3082,3247,4457,5518
"MS11",0.296052631578947,0.302631578947368,255,172,438,344
"MS15",0.313131313131313,0.45,681,650,1129,1147
"MS24",0.459459459459459,0.24390243902439,291,188,492,352
"MS8",0.295774647887324,0.301587301587302,226,188,332,299
"MS1",0.269736842105263,0.226666666666667,3448,2852,7301,6571
"MS19",0.0421052631578947,0.0754716981132075,1680,1424,4072,3837
"MS29",0.554285714285714,0.438679245283019,513,516,836,809
"MS18",0.717948717948718,0.709090909090909,3499,2737,5933,5164
"MS25",0.711764705882353,0.650887573964497,351,235,538,352
"MS6",0.6,0.376470588235294,483,357,849,660
"MS30",0.211764705882353,0.164705882352941,809,852,1610,1681
"MS20",0.747058823529412,0.858823529411765,4849,3962,7831,6969
