"ReportingCountry","PR_a_2020","PR_a_2021","PR_a_2019","NS_2020","NS_2021","NS_2019","Tested_2020","Tested_2021","Tested_2019"
"MS23",0.0555555555555556,0.0388888888888889,0.102702702702703,130,125,225,894,1052,1884
"MS14",0.48314606741573,0.444976076555024,0.522968197879859,311,317,465,706,747,986
"MS22",NA,0.285714285714286,NA,NA,0,NA,NA,1,NA
"MS4",0.25,0.25,0.2,27,14,24,106,75,96
"MS9",0.4,0.434782608695652,0.461538461538462,62,66,89,252,343,197
"MS10",NA,0.727272727272727,NA,NA,41,NA,NA,130,NA
"MS12",0.303225806451613,0.230337078651685,0.342911877394636,149,177,186,713,833,842
"MS13",0.4375,0.48936170212766,0.511627906976744,0,780,1255,23,2985,4681
"MS26",0.15,0.233333333333333,0,10,10,4,166,249,50
"MS21",0.356756756756757,0.304761904761905,NA,344,270,NA,627,534,NA
"MS28",0.1,0.1,NA,14,2,NA,20,48,NA
"MS5",0.629032258064516,NA,0.54,45,NA,35,183,NA,185
"MS16",0.444061962134251,0.326315789473684,0.482288828337875,371,292,239,872,692,569
"MS11",0,0,NA,5,3,NA,18,8,NA
"MS15",NA,0.882352941176471,NA,NA,53,NA,NA,212,NA
"MS24",NA,0.135135135135135,NA,NA,30,NA,NA,116,NA
"MS8",0.129032258064516,0.36036036036036,0.133333333333333,34,73,41,164,205,113
"MS1",0.217391304347826,0.26984126984127,NA,160,186,NA,494,612,NA
"MS29",NA,0.359712230215827,0.340740740740741,NA,9,242,NA,75,1011
"MS18",0.575757575757576,0.571428571428571,0.566265060240964,80,92,138,238,278,463
"MS25",0.2,0.321167883211679,0.182352941176471,7,6,43,36,25,148
"MS6",0.457142857142857,0.319148936170213,0.459016393442623,55,59,75,472,696,652
"MS30",0.432926829268293,0.461538461538462,0.27906976744186,38,31,123,185,176,357
"MS20",0.541501976284585,0.6,0.50395256916996,214,291,602,768,1002,1409
