"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.0352941176470588,126,894
"MS14",0.359756097560976,296,706
"MS4",0.3125,28,106
"MS9",0.222222222222222,45,252
"MS17",0,28,100
"MS12",0.119760479041916,190,713
"MS13",0.117647058823529,0,23
"MS26",0.05,14,166
"MS21",0.2,341,627
"MS28",0.1,8,20
"MS5",0,44,183
"MS16",0.35981308411215,383,872
"MS11",0,0,18
"MS8",0.442307692307692,27,164
"MS19",0,20,232
"MS18",0.3125,77,238
"MS25",0.205882352941176,7,36
"MS6",0.485714285714286,59,472
"MS30",0.396341463414634,38,185
"MS20",0.111764705882353,202,768
