"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0.714285714285714,NA,118,NA,1052,NA
"MS14",0.466666666666667,0.563106796116505,350,458,747,986
"MS22",0.5,NA,0,NA,1,NA
"MS4",0.333333333333333,NA,15,NA,75,NA
"MS9",0.293478260869565,0.432,74,85,343,197
"MS10",0.727272727272727,NA,35,NA,130,NA
"MS12",0.389473684210526,0.450980392156863,161,169,833,842
"MS13",0.6,0.266666666666667,786,1250,2985,4681
"MS26",0.2,NA,13,NA,249,NA
"MS21",0.325,NA,260,NA,534,NA
"MS28",0.666666666666667,0.6,7,7,48,26
"MS5",NA,0.596774193548387,NA,33,NA,185
"MS16",0.307692307692308,0.472081218274112,307,244,692,569
"MS11",0.0714285714285714,NA,2,NA,8,NA
"MS15",0.823529411764706,NA,43,NA,212,NA
"MS24",0.135135135135135,NA,40,NA,116,NA
"MS8",0.23728813559322,0.2,68,36,205,113
"MS1",0.285714285714286,0.391304347826087,159,198,612,727
"MS29",0.416666666666667,0.35,9,258,75,1011
"MS18",0.736842105263158,1,89,155,278,463
"MS25",0.355769230769231,NA,4,NA,25,NA
"MS6",0.5,NA,60,NA,696,NA
"MS30",0.666666666666667,NA,31,NA,176,NA
"MS20",0.735294117647059,0.572289156626506,224,575,1002,1409
