"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0,557,5376
"MS14",0.0787878787878788,441,4320
"MS22",0,110,261
"MS7",0,133,827
"MS4",0.0606060606060606,39,114
"MS27",0,437,2997
"MS9",0,406,5286
"MS10",0,78,979
"MS17",0,411,5367
"MS12",0,1967,18857
"MS13",0.0186915887850467,3132,28461
"MS26",0.0117647058823529,115,567
"MS21",0.0294117647058824,407,1962
"MS28",0,30,245
"MS5",0,353,2850
"MS16",0.0176470588235294,5233,18750
"MS11",0,97,378
"MS15",0.04,182,1142
"MS24",0,46,428
"MS8",0.333333333333333,31,277
"MS1",0.00327868852459016,550,7494
"MS19",0,242,3762
"MS29",0.0228571428571429,384,2172
"MS18",0.00641025641025641,935,5793
"MS25",0.0416666666666667,98,452
"MS6",0,192,727
"MS30",0,168,1617
"MS20",0.0117647058823529,1091,7744
"MS3",0,778,9852
