"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0,NA,5,NA,1052,NA
"MS14",0,0,1,6,747,986
"MS4",0,NA,0,NA,75,NA
"MS9",0,0,1,1,343,197
"MS10",0,NA,0,NA,130,NA
"MS12",0,0,7,21,833,842
"MS13",0,0,35,155,2981,4682
"MS26",0,NA,1,NA,249,NA
"MS21",0.025,NA,26,NA,534,NA
"MS28",NA,0,NA,0,NA,6
"MS5",NA,0,NA,0,NA,185
"MS16",0.021978021978022,0.0101522842639594,36,7,693,569
"MS15",0,NA,0,NA,142,NA
"MS24",0,NA,0,NA,116,NA
"MS8",0,0,0,3,205,113
"MS1",0,0,2,7,612,727
"MS29",0,0,0,21,75,722
"MS18",0,0,0,3,278,463
"MS25",0.0384615384615385,NA,0,NA,25,NA
"MS6",0,NA,0,NA,562,NA
"MS30",0,NA,5,NA,176,NA
"MS20",0,0,8,9,1002,1399
