"ReportingCountry","PR_a_2021","NS_2021","Tested_2021"
"MS23",0.0680628272251309,0,49
"MS4",0.666666666666667,0,7
"MS9",0.0743801652892562,2,14
"MS10",0.0857142857142857,9,27
"MS17",0.0117647058823529,6,33
"MS12",0.16256157635468,79,997
"MS13",0.158914728682171,15,233
"MS21",0.0823529411764706,0,137
"MS28",0,0,1
"MS5",0.152941176470588,0,18
"MS16",0.456852791878173,7,34
"MS15",0.0470588235294118,2,11
"MS24",0.0591133004926108,2,21
"MS8",0,0,44
"MS1",0.0348432055749129,2,91
"MS19",0,0,3
"MS29",0.0722222222222222,0,4
"MS18",0.8,26,47
"MS6",0,1,123
"MS30",0.0117647058823529,0,57
"MS20",0.482352941176471,17,112
"MS3",0,1,6
