"ReportingCountry","PR_a_2021","NS_2021","Tested_2021"
"MS23",0.591623036649215,39,49
"MS4",0.541666666666667,7,7
"MS9",0.15702479338843,6,14
"MS10",0.3,27,27
"MS17",0.317647058823529,30,35
"MS12",0.448275862068966,609,998
"MS13",0.573643410852713,179,234
"MS21",0.576470588235294,111,137
"MS28",0.827586206896552,0,1
"MS5",0.394117647058824,2,18
"MS16",0.781725888324873,26,34
"MS15",0.705882352941177,5,11
"MS24",0.58128078817734,15,21
"MS8",0.588235294117647,32,44
"MS1",0.198606271777003,63,92
"MS19",0.180555555555556,1,3
"MS29",0.594444444444444,1,1
"MS18",0.766666666666667,47,47
"MS6",0.693548387096774,87,125
"MS30",0.894117647058824,52,57
"MS20",0.917647058823529,102,109
"MS3",0.275862068965517,5,6
