"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.790960451977401,299,397
"MS4",0.878378378378378,17,17
"MS9",0.404907975460123,105,220
"MS10",0.8,195,249
"MS17",0.0344827586206897,546,1339
"MS12",0.684210526315789,3956,6530
"MS5",0.272727272727273,1,1
"MS16",0.882022471910112,67,77
"MS24",1,148,200
"MS8",0,109,138
"MS1",0.712574850299401,802,1270
"MS19",0.0602409638554217,33,272
"MS29",0.949720670391061,3,5
"MS18",0.972727272727273,202,227
"MS6",0.905882352941176,610,893
"MS30",0.870588235294118,605,759
"MS20",0.911764705882353,21,21
"MS3",0.213114754098361,41,323
